id,type,question
194,选择,关于朱仁康名医的经验方化湿汤，以下哪项描述是正确的？A.治疗胃强脾弱和湿困脾土的证候；B.治疗风热型奶癣；C.以清热解毒为主要治法；D.用于治疗儿童湿疹和牛皮癣
195,选择,赵炳南名医擅长治疗的疾病不包括以下哪一项？A紫癜；B偏于下肢者；C下肢银屑病；D感冒。
196,选择,赵炳南名医擅长的疾病不包括以下哪一项？A皮肤搔痒症；B白疙；C松皮癣；D心脏病
197,选择,凉血五花汤的组成中不包括以下哪种药材？A.红花；B.鸡冠花；C.野菊花；D.金银花
198,选择,以下哪种药物可用于治疗小便不利？A麻黄；B防风；C生姜；D大黄
199,选择,紫白癜风的中医治疗方剂普癣水的主要组成成分是什么？A生地榆、苦楝子；B生地榆、土槿皮；C苦楝子、斑蝥；D生地榆、苦楝子、土槿皮、斑蝥
200,选择,下列哪种方剂不是由赵炳南名医所擅长的？A全虫方；B消风清热饮；C苦参汤；D皂刺散
201,选择,乌蛇驱风汤的主要组成不包括以下哪项？A乌蛇；B蝉衣；C黄岑；D当归
202,选择,玉黄膏的主要成分包括哪些？A当归、白芷；B姜黄、甘草；C轻粉、冰片；D蜂白蜡、冰片
203,选择,下列哪位名医也使用解毒凉血汤治疗疾病？A赵炳南；B张志礼；C朱仁康；D边天羽；
204,选择,瘫痕疙瘩是一种疾病，以下哪位名医擅长治疗该疾病？A. 赵炳南；B. 庄国康；C. 张仲景；D. 李时珍
205,选择,健脾除湿汤的主要治法是什么？A健脾化湿；B清热解毒；C活血化瘀；D疏风清热；
206,选择,健脾除湿汤的组成中不包括以下哪一项？A. 苍术；B. 炒白术；C. 陈皮；D. 玄参
207,选择,赵炳南擅长的疾病中，下列哪一项不是通过子油熏药方治疗的？A.松皮癣；B.皮肤淀粉样变；C.慢性湿疹；D.鱼鳞病
208,选择,赵炳南擅长治疗的疾病中，哪一种与京红粉药捻有关？A.荨麻疹；B.阳症窦道；C.牛皮癣；D.白癜风
209,选择,以下哪一项是张作舟用于治疗手足多汗症的经验方？A除湿洗方；B四物汤；C八珍汤；D十全大补汤；
210,选择,全虫方主要治疗的皮肤病不包括以下哪一项？A慢性湿疹；B顽固性神经性皮炎；C结节性痒疹；D马疥
211,选择,加减龙胆泻肝汤的主要组成成分不包括以下哪一项？A龙胆草；B青连翘；C黄连；D生甘草
212,选择,赵炳南名医擅长治疗的疾病中，不包括以下哪一项？A顽癣；B扁平苔藓；C神经性皮炎；D心脏病；
213,选择,凉血五根汤的主要组成不包括以下哪一项？A白茅根；B瓜蒌根；C茜草根；D人参
214,选择,黑布药膏的使用方法中，以下哪项是错误的？A厚敷患处；B不要用金属器械涂药；C每日换药一次；D用茶水清洁皮肤
215,选择,乌蛇搜风汤治疗的疾病不包括？A.扁平苔藓；B.神经性皮炎；C.感冒；D.结节性痒疹
216,选择,赵炳南名医擅长使用哪个方剂治疗疾病？A凉血活血汤；B消风清热饮；C四物汤；D八珍汤
217,选择,赵炳南名医治疗单纯疤疹时，可能会使用以下哪种经验方？A.清凉膏；B.普连软膏；C.消风清热饮；D.以上皆是
218,选择,粉刺的中医治疗中，茵陈蒿汤合黄连解毒汤加减的主要功能是什么？A清热解毒；B清热燥湿；C清热泻火；D以上皆是
219,选择,下列哪种疾病不是回阳熏药治疗的适应症？A穿踝瘘；B久不收口之阴疮寒症；C鼠疮；D荨麻疹
220,选择,下列哪种疾病可以使用重镇活血汤进行治疗？A神经性皮炎；B扁平苔藓；C寻常疣；D以上皆是；
221,选择,以下哪种药材不是芳香化湿汤的组成部分？A.藿香；B.白鲜皮；C.地肤子；D.黄连
222,选择,参苓白术丸的治法是？A补脾胃；B益肺气；C补脾胃$益肺气；D清热解毒
223,选择,以下哪位名医擅长治疗慢性湿疹？A. 朱仁康；B. 许铣；C. 赵炳南；D. 庄国康
224,选择,手足多汗症的治疗中，除湿洗方的治法是什么？A收湿散风拔干；B清热解毒；C滋阴补阳；D疏风清热；
225,选择,大黄蛰虫丸的组成不包括以下哪种药材？A大黄；B蛰虫；C水蛭；D黄芪
226,选择,口周皮炎患者出现阴虚阳亢的证候时，许铣名医推荐的治疗方剂是？A加减泻黄汤；B知柏地黄丸合五味消毒饮；C丹栀逍遥散；D以上都不是
227,选择,聚合型痊疮常用哪种方药进行治疗？A.大黄蛰虫丸；B.消风清热饮；C.龙胆泻肝汤；D.四物汤
228,选择,许铣名医治疗糠秕孢子菌性毛囊炎的治法是？A. 清热解毒利湿；B. 疏风清热，解毒利湿；C. 活血化瘀，清热解毒；D. 健脾利湿，疏风清热
229,选择,桃红四物汤加减中不包括以下哪种药材？A.桃仁；B.红花；C.板蓝根；D.黄连
230,选择,以下哪种方剂不是由朱仁康提出的治疗脂溢性皮炎的经验方？A.苦参酒；B.龙胆泻肝丸；C.九华粉洗剂；D.清脾除湿饮
231,选择,以下哪位名医没有使用消斑汤来治疗白癜风？A.张作舟；B.赵炳南；C.张志礼；D.张作舟。
232,选择,全虫方的治法主要不包括以下哪一项？A.熄风止痒；B.除湿解毒；C.清热凉血；D.调理胃肠
233,选择,手足蚓是一种疾病，以下哪位名医擅长治疗该疾病？A.赵炳南；B.许铣；C.王萍；D.无相关名医
234,选择,血热型银屑病患者在使用改良白疕一号治疗时，以下哪个时间点评价疗效？A.服药1周；B.服药2周；C.服药1个月；D.服药3个月
235,选择,下列哪种疾病不是黑布药膏治疗的疾病？A乳头状皮炎；B瘢痕疙瘩；C毛囊炎初期；D糖尿病
236,选择,以下哪位名医擅长治疗多形性红斑及一切红斑性皮肤病初期？A赵炳南；B朱仁康；C李时珍；D张仲景；
237,选择,在使用犀角地黄汤合化斑汤化裁治疗红斑性狼疮时，若患者出现鼻妞症状，朱仁康建议加用什么？A.白茅根；B.鲜芦根；C.川连；D.黄琴
238,选择,赵炳南名医治疗顽湿聚结的主要治法不包括以下哪一项？A.拔毒提脓；B.通经止痛；C.破瘀软坚；D.清热解毒
239,选择,龙胆泻肝汤的组成成分不包括以下哪一项？A龙胆草；B连翘；C黄连；D人中白
240,选择,赵炳南名医擅长的方剂是哪种？A清营汤；B增液汤合益胃汤；C皮炎汤；D以上均不是
241,选择,根据湿疹三号方的方解，以下哪项描述错误？A滋阴养血和营；B健脾利湿；C祛湿止痒；D主要用于治疗急性疾病
242,选择,亚急性湿疹可以使用以下哪种方剂进行治疗？A加减龙胆泻肝汤；B清脾除湿饮；C芳香化湿汤；D四妙丸
243,选择,皮炎汤的主要治法是什么？A清营凉血；B泄热化毒；C滋阴降火；D疏风清热
244,选择,以下哪个方剂不是由赵炳南名医提出的？A.乌蛇搜风汤；B.乌蛇驱风汤；C.消风清热饮；D.以上都不是
245,选择,许铣擅长治疗哪种疾病？A.银屑病；B.荨麻疹；C.白癜风；D.湿疹
246,选择,赵炳南名医还擅长治疗以下哪种疾病？A.血风疮；B.高血压；C.冠心病；D.哮喘
247,选择,药疹的热毒入营证常用哪种治法？A清营解毒；B益气养阴；C清解余毒；D滋阴降火
248,选择,赵炳南名医治疗的漫性湿疹，以下哪种治法不在其经验方中？A拔毒提脓；B通经止痛；C破瘀软坚；D清热解毒。
249,选择,朱仁康名医针对痤疮的痰瘀型证属痰瘀交结的治疗方剂是？A.化瘀散结丸；B.自拟金香菊方；C.知柏地黄丸为主方加减；D.海藻玉壶汤
250,选择,首乌除了可以治疗疥疮外，还常用于治疗以下哪种症状？A.痒；B.发热；C.咳嗽；D.头痛
251,选择,以下哪种药材不是芳香化湿汤的组成部分？A藿香；B佩兰；C苍术；D黄连
252,选择,赵炳南名医使用加减除湿胃苓汤治疗疾病时，其治法是什么？A健脾燥湿；B和中利水；C凉血清热；D消风止痒
253,选择,透骨草方主要由以下哪些成分组成？A透骨草、侧柏叶；B皂角、白矾；C当归、川芎；D桂枝、丹参；
254,选择,如果亚急性湿疹患者出现日久伤阴耗血的症状，以下哪位名医的经验方可能被使用？A赵炳南；B王萍；C张作舟；D朱仁康
255,选择,下列哪位名医提出了参苓白术丸治疗静脉炎的经验方？A赵炳南；B王萍；C张仲景；D李时珍。
256,选择,以下哪个方剂主要用于治疗湿疡和缠腰火丹？A加减龙胆泻肝汤；B清脾除湿饮；C芳香化湿汤；D四妙丸
257,选择,乌蛇搜风汤的证候是什么？A.风热之邪内郁日久；B.风湿热毒内蕴；C.风寒束表；D.热毒炽盛
258,选择,下列关于赵炳南治疗神经性皮炎的经验方描述，错误的是？A.使用癣症熏药方；B.使用秦艽丸方；C.使用全虫方；D.使用普榆膏
259,选择,使用黑布药膏治疗疾病时，换药的频率通常是？A.每天一次；B.每2-3天一次；C.每周一次；D.每月一次
260,选择,加减除湿胃苓汤的治法是什么？A健脾燥湿；B和中利水；C清热解毒；D以上都是
261,选择,冰矾洗剂的主要用途是什么？A治疗头皮脂溢性皮炎；B治疗脱发；C两者都治疗；D两者都不治疗
262,选择,治疗慢性阴囊湿疹时，以下哪种方剂不适用于熄风止痒的治法？A全虫方；B滋阴除湿汤；C滋阴除湿汤(湿疹三号方)；D以上均适用
263,选择,以下哪个方剂不是朱仁康名医的经验方？A. 皮癣汤加减；B. 龙胆泻肝汤加减；C. 除湿胃苓汤加减；D. 全虫方
264,选择,皮肤瘙痒症的风热型证候主要表现为？A.皮肤剧烈瘙痒，触之灼热；B.皮肤干燥起白屑，瘙痒；C.皮肤瘙痒，夜间痒甚；D.皮肤瘙痒，遇热加重。
265,选择,下列哪种疾病不是黑色拔膏棍治疗的适应症？A慢性局限性湿疹；B寻常疣；C局限性神经性皮炎；D感冒
266,选择,皮炎汤的组成中不包括以下哪项？A生地；B丹皮；C赤芍；D人参
267,选择,以下哪个方剂是由张作舟名医提出的经验方？A除湿洗方；B消风清热饮；C苦参汤；D防风通圣散
268,选择,赵炳南名医擅长的疾病是什么？A.荨麻疹；B.色素性皮肤病；C.牛皮癣；D.白癜风
269,问答,在庄国康擅长的疾病中，哪些疾病可以通过重镇活血汤的治疗原理来缓解其心肝失调的证候？
270,问答,凉血五根汤在治疗血热发斑和热毒阻络证候时，哪些药材起到了凉血活血的作用，并简述其方解？
271,问答,在治疗面部痤疮时，邬成霖名医针对地塞米松或强的松的具体用法用量及其背后的考虑是什么？
272,问答,朱仁康名医在治疗汗管角化时，所使用的经验方苍术膏的具体组成成分有哪些，这些成分是如何协同作用以针对汗管角化的症状发挥疗效的？
273,问答,在治疗系统性红斑狼疮时，张志礼是如何通过特色用药体现其健脾益肾、活血通络的治疗原则的？
274,问答,赵炳南名医在治疗掌拓脓疱病时，基于其对方剂的应用经验和掌拓脓疱病的症状特点，常采用哪种方剂及其主治功效是什么？
275,问答,赵炳南在治疗限局性硬皮病时，结合其经验方阳和丸的组成和主治，具体采用了哪些治法，并分析这些治法如何针对该病的证候和临床表现？
276,问答,在中医治疗中，针对血虚身痛症状，哪位名医的特色用药能够有效缓解该症状，并说明其药效机制？
277,问答,赵炳南名医在治疗疱疹样皮炎时，常使用哪一经验方？请详细说明该方剂的组成成分、主治疾病及其治法原理。
278,问答,回阳熏药在中医皮肤科中主要用于治疗哪些复杂难愈的疾病，并简述其治疗机制？
279,问答,赵炳南名医在治疗毛囊炎初起时，除了使用黑布药膏外，还考虑了哪些疾病的相似治疗方法和药膏的组成及用法？
280,问答,赵炳南针对皮肤淀粉样变提出的综合治法及其理论基础是什么？
281,问答,在治疗偏于下肢者的疾病时，赵炳南名医常用的方剂是什么，并简述其方解和适用证候？
282,问答,朱仁康针对婴儿湿疹（中医病名奶癣）提出的化湿汤，在治疗胃强脾弱证候时，其具体作用机制及治疗效果主要体现在哪些方面？
283,问答,赵炳南名医在治疗疖及其相关疾病时，常用的方药是什么？请详细说明该方药的组成、治法及其在治疗其他疾病中的应用。
284,问答,赵炳南名医在使用拔膏棍治疗木刺瘊的基础上，还擅长治疗哪些其他皮肤病？请列举并简要说明这些疾病与拔膏棍治疗的关系。
285,问答,凉血五根汤在治疗血热发斑和热毒阻络证候时，其方剂组成及各自药效如何体现了其主要的治疗原则？
286,问答,四黄膏在治疗由朱仁康名医所擅长的各种肿毒时，其具体的用法和用量是怎样的，并且这种用法如何有助于药物发挥清热解毒和消肿的作用？
287,问答,张作舟名医在治疗体癣等皮肤疾病时，所采用的经验方及其组成成分和治法是什么？
288,问答,在治疗多形性红斑（血风疮）时，赵炳南针对偏于上半身或全身散在分布的患者，采用了哪种方剂进行治疗，并简述该方剂的组成及其作用机制？
289,问答,赵炳南与王萍两位名医治疗静脉炎所使用的经验方参苓白术丸，其治法的主要目的是什么，并结合方剂组成和中医理论分析其适用证候？
290,问答,陈彤云名医在治疗荨麻疹时，针对气血失和证候的治法是什么？
291,问答,赵炳南名医针对鱼鳞病提出的子油熏药方，其治法原则是什么？该方剂除了适用于鱼鳞病外，还适用于哪些西医和中医病名的疾病？
292,问答,赵炳南在治疗寻常性狼疮时，针对湿毒蕴于血分的证候，通常采用的经验方是什么？并请详细说明该方剂的组成、功效及用法用量。
293,问答,凉血五花汤除了治疗盘状红斑狼疮初期，还能用于治疗哪些皮肤病，并简述其方解和治法？
294,问答,赵炳南名医在使用拔膏棍治疗顽湿聚结的同时，还擅长用其治疗哪些其他皮肤疾病？
295,问答,在治疗局限性神经性皮炎时，赵炳南名医可能会采用哪种方剂，并简述该方剂的组成及其在皮肤病治疗中的应用？
296,问答,龙芩除湿方加减在治疗湿疹急性期发作时，其综合治法是如何通过药物配伍实现清热燥湿、息风止痒以及调和脾胃的功效？
297,问答,在治疗毛囊炎初期时，赵炳南名医推荐使用的黑布药膏的具体用法用量及其注意事项是什么？
298,问答,凉血五花汤在哪些皮肤病的初期治疗中表现出显著效果，并说明其方剂组成及作用机制？
299,问答,赵炳南名医推荐的苍肤水洗剂在中医皮肤科中的应用范围及其主要治疗的西医病名是什么？
300,问答,赵炳南名医在治疗脾虚血燥证时，常用的方剂是什么？
301,问答,在治疗寻常型银屑病时，丹皮作为一种常用药物，其应用可能受到哪些名医治疗思路的影响？请结合丹皮与其他相关药物的名医特色用药情况进行分析。
302,问答,赵炳南名医在治疗慢性汗腺炎所致瘘管时，其常用的回阳熏药方剂是如何通过药材配伍达到回阳生肌、益气养血的治疗效果的？
303,问答,紫草软膏在治疗溃疡疮面时，其具体的用法用量及其作用机制是什么？
304,问答,赵炳南名医在治疗顽湿疹时，所采用的薰药剂具体组成成分及其使用方法是什么？
305,问答,哪些中医名医在治疗寻常型银屑病方面具有显著专长，并请简述其相关治疗方剂的特点？
306,问答,在治疗湿疮的湿热浸淫证时，清热除湿汤加减方如何根据患者的具体临床表现进行药物调整以提升疗效？
307,问答,赵炳南名医在治疗痈肿疮疡时提出了多种方剂，其中哪一种方剂不仅包含蒲公英、二花、连翘等药材，还特别强调了清热解毒与凉血活血的治法？
308,问答,赵炳南名医在治疗结节性红斑及一切红斑类皮肤病的初期时，所采用的方剂及其组成、方解和适应证候是什么？
309,问答,赵炳南名医在治疗哪些疾病时，会使用包含什净轻粉、京红粉、血竭粉等成分的甲字提毒药捻方剂？
