ID	名医	研究名称	研究类型	方名	疾病	研究方案	资料来源	摘要					
32	朱仁康	克银方治疗银屑病93例	观察研究	克银方1号$克银方2号	银屑病	"根据朱仁康诊治经验,分为血热风燥和血虚风燥型,分别采用克银方1号、克银方2号加减治疗。治疗湿热型患者,清热凉血同时辅加祛湿剂及芳香化湿药,血瘀以及冲任不调型,未作本组病例统计。连续服药3周为1疗程,儿童酌减。所选病例均不配合西药,血虚风燥型部分患者配用少量外用中药。2. 1　血热风燥型　共56例,男31例,女25例,以青壮年为多。精神刺激生气上火所致14例,扁桃体炎所致13例,食腥臭海物12例,外感湿邪所致11例,其他因素6例。病程1年以内7例,1～ 15年41例,15年以上8例;皮损形态呈点滴状15例,斑块、地图钱币状41例;进行期35例,静止期21例。症见丘疹不断增多,颜色鲜红,瘙痒脱白屑有薄膜及出血点,伴见喜凉怕热,汗后痒重,口渴溲黄,舌红苔黄,脉弦数。治以清热凉血、解毒祛风为主,方用克银方1号加减:土茯苓30 g,金银花20 g,败酱草30 g,草河车20 g,当归12 g,知母12 g,黄芩10 g,白鲜皮20 g,牡丹皮20 g,白茅根20 g,白芍15 g,每日1剂,水煎早晚分服。2. 2　血虚风燥型　共37例,男20例,女17例,以中老年人为多。病程较长反复发作11例,1年以内2例,1～ 15年15例,15年以上9例;皮损形态呈点滴状9例,混合以及斑块状20例,地图钱币状8例;进行期14例,静止期23例。症见丘疹稳定皮损停止不发展,潮红减轻,基底呈褐色或暗褐色,鳞屑少而附着较紧着实,皮肤干燥欠润泽,皲裂疼痛,瘙痒不重,小腿前侧肥厚,或有苔癣样变,伴见头晕心悸,面色萎黄,舌淡苔白,脉弱。治以滋阴养血润肤为主。选用克银方2号加减:玄参30 g,生地黄40 g,当归15 g,丹参30 g,火麻仁20 g,何首乌10 g,金银花20 g,阿胶15 g(烊化),土茯苓15 g,苦参6 g,日1剂,水煎早晚分服。治疗期间,每隔6 d观察1次,服药5～ 12 d,有9名患者出现新小丘疹,色红瘙痒,14～ 16 d后则静止,笔者认为该组药物兼有发表功效,服药3周左右,丘疹转平,皮色转暗或褐色,鳞屑较少,皮损范围缩小,边缘清晰,头皮、上肢、躯干皮损消退较快,下肢、臀部缓慢,大部分皮损消退后,遗留暂时性色素斑,大片状皮损常从中心以及边缘同时愈合。本组93例,随访56例,分别为7～ 24月,只有11例轻度复发,复发率占12%,继用上方治疗仍然有效。"	"权耀恒,权敬梓.克银方治疗银屑病93例临床观察[J].山东中医杂志,2008,07:467-468."						
33	朱仁康	利湿清热方配合浸泡方治疗汗疱症	观察研究	利湿清热方	汗疱症	本文152例全部采用朱仁康经验方利湿清热方加减内服以及浸泡方外用进行治疗。利湿清热方组成：生地30、黄芩9、赤芩9、泽泻9、车前子9.（包煎）、木通4.5. 六一散9（包煎）临床随症加减：瘙痒无度者加苦参9，白癣皮9；疱壁厚面色红者加丹皮9、赤芍9；大便秘结者加生大黄9。浸泡方组成：王不留行30、明矾9。每天用药1 份，熬水半盆，趁半温时将手或足泡于药液中15分钟，每日泡2 次，再泡时加温	"王筱秋,赵玛丽.利湿清热方配合浸泡方治疗汗疱症152例报告[J].井冈山医专学报,2002,05:57."	探讨利湿清热方 4/5配合浸泡方 4$5治疗汗疱症的疗效。方法 采用朱仁康经验方利湿清热方内服及浸泡方外用。结果 /!$ 例患者全部治愈。结论 用利湿清热方内服配合浸泡方外用治疗汗疱症疗程短，疗效显著，适合推广使用。					
34	赵炳南	凉血活血汤加味治疗寻常型银屑病	观察研究	凉血活血汤加味	银屑病	给予凉血活血汤加味治疗，基本方：生槐花，丹参，紫草根，赤芍，白茅根，生地，鸡血藤，水煎2次/日口服，患者1~2周复诊1次，观察疗效。	"肖志刚.凉血活血汤加味治疗寻常型银屑病[A].中华中医药学会.中华中医药学会皮肤科分会第六次学术年会、赵炳南学术思想研讨会、全国皮肤科中医外治高级研修班论文集[C].中华中医药学会:,2009:2."						
35	赵炳南	凉血五根汤治疗过敏性紫癜的临床观察	观察研究	凉血五根汤	过敏性紫癜	基础方组成：白茅根30，瓜蒌根15，板蓝根10，茜草根10，紫草根10，生槐花15，丹皮10，地榆10，水煎服，日1剂，分2次服，同事根据临床随症加减。	"王海英,李向振.凉血五根汤治疗过敏性紫癜的临床观察[J].内蒙古中医药,1996,04:6."	选用赵炳南老先生凉血五根汤，治疗过敏性紫癜，经55例临床观察，其中痊愈48例，有效5例，无效2例，总有效率为96.4%，其中痊愈率87.3%					
36	赵炳南	凉血五花片治疗寻常痤疮	观察研究	凉血五花片	痤疮	该片药物由红花，凌霄花，鸡冠花，玫瑰花，野菊花，青蒿组成，每日服本药三次，每次8片，连服两周为一疗程，在此期间不用其他内服药。	"蒋云吉.凉血五花片治疗寻常痤疮58例[J].湖北中医杂志,1990,05:22."						
37	赵炳南	凉血五花汤加味治疗玫瑰糠疹	随机对照试验	凉血五花汤	玫瑰糠疹	治疗组内服中药凉血五花汤加味煎剂，方剂组成：红花、玫瑰花、鸡冠花、丹皮、赤芍药、连翘各１０ｇ，金银花、白鲜皮、秦艽各１５ｇ，凌霄花６ｇ。加清水浸药１ｈ。后煎取２００ｍＬ，第二次煎取２００ｍＬ，２次所煎药液混合，分早晚２次温服，每日１剂。对照组口服西可韦１０ｍｇ，每日１次。两组均以１５ｄ为１个疗程，治疗１个疗程后观察疗效。	"宋鲁成.凉血五花汤加味治疗玫瑰糠疹46例[J].陕西中医,2012,10:1356-1357."	目的：观察凉血五花汤加味治疗玫瑰糠疹的疗效。方法：治疗组３０例采用凉血五花汤（红花、玫瑰花、鸡冠花、凌霄花等）和对照组２１例采用西可韦治疗。结果：治疗组总有效率为９３．３％，对照组总有效率５２．３％。两组疗效比较，治疗组明显优于对照组（Ｐ＜０．０５）。结论：凉血五花汤具有清热解毒，疏风凉血，除湿止痒之功效，治疗玫瑰糠疹有明显疗效					
38	赵炳南	凉血五花汤治疗化妆品皮炎	观察研究	凉血五花汤	面部激素依赖性皮炎	"治疗方法:基本方:红花 12g, 鸡冠花12g, 凌霄花 12g, 玫瑰花 12g, 野菊花 12g。加减:月径不调者加熟地 12g, 白芍 9g, 当归 9g, 川芎 6g。附件囊肿者加三棱 9g, 莪术 9g, 牡蛎 30g。每天 1剂水煎服, 15天1个疗程 , 长期使用激素软膏者 , 停用后病情加重,面部干燥脱屑者, 在口服中药的同时,使用米汤水温敷面部, 1次 /日。"	"张秉满.凉血五花汤治疗化妆品皮炎20例[J].中国社区医师(医学专业),2010,28:130."						
39	赵炳南	凉血五花汤治疗面部激素依赖性皮炎	观察研究	凉血五花汤	面部激素依赖性皮炎		"陈潍.凉血五花汤治疗面部激素依赖性皮炎58例临床观察[A].中华中医药学会.中华中医药学会皮肤科分会第六次学术年会、赵炳南学术思想研讨会、全国皮肤科中医外治高级研修班论文集[C].中华中医药学会:,2009:2."						
40	朱仁康	马齿苋合剂治疗带状疱疹	观察研究	马齿苋合剂	带状疱疹	"治疗组:口服马齿苋合剂,一日一剂,两煎服汁300ml,早晚分服,连用3~10剂,治愈停用。马齿觉合剂组成:马齿览60、大青叶15、蒲公英15。对照组:病毒灵0.2、维生素B130mg一日三次口服,维生素B12500ug如g一日一次肌注,至痊愈止,2周无效亦停用"	"石人强,杨世春.马齿苋合剂治疗带状疱疹36例[J].黑龙江中医药,1999,05:42."						
41	张志礼	解毒散瘀汤治疗血瘀型银屑病对血脂，载脂蛋白的影响	观察研究	解毒散瘀汤	银屑病	治疗组服用解毒散瘀汤（紫草15，茜草15，板蓝根30，元参15，桃仁10，红花10，莪术10，赤芍15，丹参15，鸡血藤15）每日一剂，水煎取300毫升，分两次服用，疗程60天。对照组服用活血消炎丸，同仁堂制药二厂，每次服6g，每日二次，疗程60天，两组患者均以滋润性药膏外用。	"周垒，蔡念宁，等.解毒散瘀汤治疗血瘀型银屑病对血脂，载脂蛋白的影响[j].中国医药学报，2001,16(3):35-36"						
42	朱仁康	老年皮肤瘙痒症的治疗体会	观察研究		皮肤瘙痒症	"基本方:当归、白芍、川芍、黄芪、玄参、白蒺藜、红花、荆芥、甘草。用法:水煎服。1日1剂,早晚分服"	"孙秉芳.老年皮肤瘙痒症的治疗体会[J].长春中医药大学学报,1991,04:38."						
43	朱仁康	皮炎汤加减治疗玫瑰糠疹75例	观察研究	皮炎汤	玫瑰糠疹	"病人均以《朱仁康临床经验集》中的皮炎汤[2]为主随证加减, 水煎服, 1剂/d, 基本处方如下: 生地30g, 牡丹皮10g,赤芍10g, 生石膏30g(先下), 知母10g, 金银花10g, 连翘10g, 竹叶10g, 生甘草10g。加减: 病变红斑显著加板蓝根10g, 紫草10g; 瘙痒加僵蚕10g, 白蒺藜10g; 病变后期, 红斑淡化脱屑, 舌红少苔者, 去金银花、连翘, 加麦冬15g, 石斛10g, 天花粉10g;大便干燥者加生大黄粉2g冲服"	"孙永建.皮炎汤加减治疗玫瑰糠疹75例[J].中国中西医结合皮肤性病学杂志,2006,04:226."						
44	朱仁康	皮炎汤治疗皮炎类皮肤病	观察研究	皮炎汤	接触性皮炎$药疹$日光性皮炎$玫瑰糠疹	"治疗组　基本方:生石膏30g,生地30g,丹皮9g,赤芍9g,知母9g,二花9g,连翘9g,竹叶9g,生甘草6g。根据病情随症加减。日1剂,水煎分早晚2次服,一般服7剂。2.2　对照组　硫代硫酸钠640mg,日1次,静脉注射;赛庚啶2mg,日3次,口服;维生素C200mg,日3次,口服。同时外用炉甘石洗剂。连用1周"	"王西京.皮炎汤治疗皮炎类皮肤病80例[J].河南中医药学刊,1999,01:59."						
45	周文瑞	酒渣酒治疗痤疮等皮肤病	观察研究	酒渣酒	痤疮$酒皶鼻$脂溢性皮炎	生大黄30，硫磺（打粉）30，生百部100，加入95%酒精1000ml中，浸泡2周，制成酒渣酒备用，使用前先用清水清洗患处，用酒渣酒均匀涂于局部，涂后轻轻揉擦患部，使药物充分渗入皮肤。每日3-5次，1周1个疗程，连用2周观察结果进行疗效判定，治疗期间嘱患者不用其他药物，并忌酒及辛辣刺激的食物。	"周文瑞.酒渣酒治疗痤疮等皮肤病256例[J].辽宁中医杂志,2010,S1:116."						
46	钱文燕	钱文燕经验方治疗黄褐斑	观察研究	钱文燕经验方	黄褐斑	"予钱文燕经验方。药物组成:大青叶10g,生地黄10g,柴胡10g,白芍药10g,当归10g,牡丹皮10g,茯苓10g,郁金10g,白芷10g,白及10g,白蔹10g,白术10g,白扁豆10g。日1剂,水煎分早晚2次服。1周为1个疗程,3个疗程统计疗效"	"满伟,哈里旦木.钱文燕经验方治疗黄褐斑56例[J].河北中医,2007,08:709."						
47	赵炳南	阑尾经验方配合电针在复杂性阑尾炎术后康复的临床研究	随机对照试验	阑尾经验方	阑尾炎术后	在常规西医治疗基础上，取名老中医赵炳南阑尾经验方加减：薏孩仁，厚朴，路路通，通草，突实，扁豆，白僵蚕，枳实红豆蔻，生白术，陈皮，木瓜。上方加水毫升，煎至毫升，取汁温服。术后小时开始服用首剂中药（禁食不禁中药，分三次温服，每次隔小时，此后每日一剂，分早晚温服，同时配合电针治疗，取穴为足三里和上巨虚为主穴，配合天枢、三阴交、阴陵泉，均取两侧，术后小时开始第一次治疗，每次持续分钟，每日两次，直至患者有排便，正常进食，同时停用中药汤剂及电针。	"郭锋满.阑尾经验方配合电针在复杂性阑尾炎术后康复的临床研究[D].广州中医药大学,2014."						
48	杜锡贤	清热利湿饮对血热型寻常型银屑病患者外周血Thl/Th2的影响	对照试验	清热利湿饮	银屑病	"治疗组40例内服清热利湿饮,对照组30例内服复方青黛丸,疗程8周。"	"杜锡贤.应用清热利湿法治疗银屑病[A].中华中医药学会.中华中医药学会学术会议、国家中医药管理局继续教育项目——银屑病中医药防治交流会暨赵炳南学术思想高级研修班论文集[C].中华中医药学会:,2011:5."	"治疗组40例内服清热利湿饮,对照组30例内服复方青黛丸,疗程8周。治疗组患者治疗前后检测TNF-ａ及IL-10水平,其中24例痊愈患者与20例健康体检者作对照。结果治疗组在愈显率和总有效率方面均优于对照组。治疗后TNF-ａ水平下降,与治疗前比较,差异有统计学意义(P<0.01),治疗后IL-10水平上升,与治疗前比较,差异有统计学意义(P<0.01)。清热利湿饮治疗银屑病的作用机理之一可能是通过降低TNF-ａ/IL-10比值,从而调节Thl/Th2接近平衡有关。"					
49	赵炳南	应用赵炳南老中医“全虫方”治疗顽湿聚结的体会	随机对照试验	全虫方	结节性痒疹	对照组给予沙利度胺片50mg，每日3次，口服；治疗组给予赵炳南老中医全虫方辨证加减。	"武水斗,伊书红.应用赵炳南老中医“全虫方”治疗顽湿聚结的体会[J].北京中医药大学学报(中医临床版),2013,06:46-47."	目的探讨赵炳南老中医全虫方治疗顽湿聚结的疗效。方法将128例顽湿聚结的患者随机分为2组各64例，对照组给予沙利度胺片50mg，每日3次，口服；治疗组给予赵炳南老中医全虫方分湿热蕴结和血瘀风燥2型辨证加减治疗。结果患者总有效率比较，治疗组97%，对照组81%，差异有统计学意义。结论赵炳南老中医全虫方治疗顽湿聚结有较好的疗效。					
50	张作舟	运用中医经验方治疗白癜风82例	观察性研究	加味白驳丸	白癜风	采用加味白驳丸口服（鸡血藤、首乌藤、生黄茂、当归、赤芍、红花、黑豆皮、防风、刺羡幕、陈皮、补骨脂），配合外涂白驳酊（补骨脂、冤丝子、细辛）	"何华荣.运用中医经验方治疗白癜风82例[J].陕西中医学院学报,2010,03:44."						
51	张志礼	200例银屑病的中医治疗经验	观察研究		银屑病		"王萍,张芃,邓丙戌,孙丽蕴.张志礼中医辨证治疗银屑病方法及临床研究（二）[J].中国中西医结合皮肤性病学杂志,2005,04(01):1-3."	"1974年张志礼教授报道了200例银屑病的中医治疗经验，受到国内外重视。辨证分型：血热型171例，血燥型29例。其中男性146例，女性54例。年龄最小9岁，最大65岁，20~50岁166例，占83%。病程短10日，最长30年，10年以上83例，占41.55,200例中除25例在发病后未经任何治疗外，其余175例均经多次及多种疗法，其中有相当一部分病例发病以来未曾治愈过。治疗结果：根据临床疗效评定标准，其中126例临床痊愈（63%），71例基本痊愈（35.5%），3例显效（1.5%），未发现无效病例。治疗30日以内者128例，30-60日者56例，60日以上者16例，最长者83日，平均38.5日。对临床治愈的42例患者进行了4-18个月的随访观察，有21例在半年内复发，其中2个月以内复发的5例，3个月复发的2例，4-6个月复发的14例，平均复发时间为135天。比内服白血宁及外用牛皮癣素疗法的复发率低，复发时间也有所延长。"					
52	张志礼	红皮病型银屑病113例	观察研究		银屑病	中医辨证分毒热炽盛、气阴两伤二个证型。其中部分患者同时采用清开灵、丹参注射液、雷公藤等综合治疗的方法。	"王萍,张芃,邓丙戌,孙丽蕴.张志礼中医辨证治疗银屑病方法及临床研究（二）[J].中国中西医结合皮肤性病学杂志,2005,04(01):1-4."	"1998年总结红皮病型银屑病113例。男91例，女22例，年龄13-84岁，平均40.06岁。病程25天至26年。其中复发69例，既往有糖皮质激素或免疫抑制剂用药史者82例。中医辨证分毒热炽盛、气阴两伤二个证型。其中部分患者同时采用清开灵、丹参注射液、雷公藤等综合治疗的方法。治疗效果：113例中，痊愈81例71.68%,好转率32例，占28.32%,中医治疗安全有效，无明显副作用，优于糖皮质激素及免疫抑制剂。"					
53	张志礼	凉血活血汤治疗进行期银屑病211例患者进行了临床观察和总结	观察研究		银屑病		"王萍,张芃,邓丙戌,孙丽蕴.张志礼中医辨证治疗银屑病方法及临床研究（二）[J].中国中西医结合皮肤性病学杂志,2005,04(01):1-5."	1999年，张教授又对凉血活血汤治疗进行期银屑病211例患者进行了临床观察和总结。211例全部为住院患者，男性135例，女性76例，年龄11-75岁，平均39.19岁；病程5-47天，<1年者71例（33.65%），1-10年者68例（32.23%），>10年者72例（34.12%）。凉血活血汤是治疗进行期银屑病的有效方剂，治疗结果显示：211例中痊愈114例（54.03%），显效69例（32.7%），有效32例（10.90%），无效5例（2.37%），总有效率86.73%。					
54	张志礼	泛发性脓疱型银屑病43例临床分析	观察研究		银屑病	辨证以湿毒内壅，治以清热除湿，凉血解毒，方选解毒凉血汤加减。	"王萍,张芃,邓丙戌,孙丽蕴.张志礼中医辨证治疗银屑病方法及临床研究（二）[J].中国中西医结合皮肤性病学杂志,2005,04(01):1-6."	2000年发表论文“泛发性脓疱型银屑病43例临床分析，辨证以湿毒内壅，治以清热除湿，凉血解毒，方选解毒凉血汤加减。治疗结果显示：治愈4例，显效30例，好转7例，未愈2例。					
55	张志礼	凉血活血胶囊与对照组的随机、双盲、对照临床研究	随机对照试验		银屑病		"王萍,张芃,邓丙戌,孙丽蕴.张志礼中医辨证治疗银屑病方法及临床研究（二）[J].中国中西医结合皮肤性病学杂志,2005,04(01):1-7."	"2000年至今，我们在以上研究的基础上，对凉血活血汤进行了制剂改革，开展了凉血活血胶囊与对照组的随机、双盲、对照临床研究，结果显示：治疗组痊愈率10%，显效率52.5%，总有效率62.5%,对照组痊愈率3.9%，显效率42.3%，总有效率46.2%。凉血活血胶囊组在总有效率上明显优于对照组。凉血活血胶囊可显著改善患者皮损体征，并在一定程度上优于对照组。经治疗，患者皮损颜色由鲜红或深红转为淡红，皮疹变薄，鳞屑脱落减少，面积缩小，或全部消退，表皮代谢逐渐恢复正常，达到治疗银屑病的作用。凉血活血胶囊可显著改善血热型银屑病患者瘙痒、口干舌燥、心烦易怒、大便秘结、小便短赤等症状。"					
56	赵炳南	赵炳南教授凉血活血法治疗银屑病(白疕)血热证的临床与基础研究	随机对照试验		银屑病	"治疗组:口服凉血活血胶囊,每次4粒,每日3次。制剂来源为北京中医医院制剂室委托北京市东升制药厂加工,批准文号:京药制字220050004号。对照组:口服复方青黛胶囊,每次4粒,每日3次。制剂来源于陕西天宁制药有限责任公司,批准文号:陕卫药准字(1996)第000512号。外用药:治疗期间两组均外用芩柏软膏。合并用药:试验期间禁用一切与试验药物效用相同的中西药品。疗程:8周。"	"邓丙戌,王萍,孙丽蕴,金力,何薇,娄卫海,周垒,周冬梅,蔡念宁,陈凯,陶毅,王禾,曾祖平,李伟凡,姜春燕.赵炳南教授凉血活血法治疗银屑病(白疕)血热证的临床与基础研究[A].中华中医药学会.中华中医药学会皮肤科分会第六次学术年会、赵炳南学术思想研讨会、全国皮肤科中医外治高级研修班论文集[C].中华中医药学会:,2009:7."	"摘要：对120例年龄81一65岁,符合银屑病进行期的诊断标准和中医血热证辨证标准,签署知情同意书的病例,以随机表法随机分为治疗组和对照组,治疗组60例,对照组60例。治疗组60例,年龄18~65岁,平均34.08岁;男性32例,女性28例;病程7天一35年,平均病程12.25月。对照组60例,年龄18一64岁,平均34.98岁;男性34例,女性26例;病程10天一32年,平均病程123.21月。采用随机双盲平行对照法进行临床疗效研究。2.治疗方法：治疗组:口服凉血活血胶囊,每次4粒,每日3次。制剂来源为北京中医医院制剂室委托北京市东升制药厂加工,批准文号:京药制字220050004号。对照组:口服复方青黛胶囊,每次4粒,每日3次。制剂来源于陕西天宁制药有限责任公司,批准文号:陕卫药准字(1996)第000512号。外用药:治疗期间两组均外用芩柏软膏。合并用药:试验期间禁用一切与试验药物效用相同的中西药品。疗程:8周。结果：两组在治疗前各项中医辨证评分无显著性差异(P>.005),具有可比性。治疗组在痉痒程度、口干舌燥程度、心烦易怒程度、大便秘结、小便短赤等各项中医症状的改善在治疗前后有显著性差异(P<0.001),对照组治疗后较治疗前除大便状况及舌象外的其它中医症状有差异,其中在改善“口干舌燥程度”上治疗组较对照组有显著性差异(P<0.001)。治疗组在治疗前后症状积分改善率较对照组为高。"					
57	赵炳南	赵炳南经验方的临床应用	随机对照试验		银屑病	"治疗组口服“活血解毒汤”(桃仁、红花、莪术、鬼箭羽、丹参、鸡血藤、白花蛇舌草),随证加减:瘀重:赤芍、三棱;热重:大青叶、紫草;夹燥:生地、麻仁、元参;夹湿:苦参、虎杖、陈皮;咽痛:北豆根。每日1剂,水煎日2次,早晚服用。对照组口服医师自拟方(初诊医师要求主治医师以上资格、有多年临床经验,治则:活血化瘀解毒,没有规定固定的方药,从而使医师自拟方更具普遍性意义)。两组病人均采用外用答柏软膏(北京中医医院院内制剂)。连续用药8周,每2周复诊1次,疗程结束后分别统计疗效。"	"王倩.赵炳南经验方的临床应用[A].中华中医药学会.中华中医药学会皮肤科分会第六次学术年会、赵炳南学术思想研讨会、全国皮肤科中医外治高级研修班论文集[C].中华中医药学会:,2009:2."	"摘要：我科选取了门诊及住院患者中寻常型银屑病患者42例,随机分为治疗组和对照组,其中治疗组19例,对照组23例,诊断标准符合寻常型银屑病静止期,中医辨证符合银屑病血淤证,在近2月内均未使用糖皮质激素、免疫抑制剂和维甲酸类。经统计学分析两组一般资料构成差异无显著性。观察指标:病人每2周复诊一次,于疗前、治疗2、4、6、8周分别进行皮损面积、红斑、鳞屑、浸润、瘤痒程度及PASI评分判定,根据PASI评分法进行临床疗效判定。瘙痒程度评分:0分,无痒感;3分,轻度痰痒,不影响睡眠学习生活工作;5分,阵发性瘙痒,影响睡眠学习生活工作:7分,瘙痒剧烈,严重影响睡眠学习生活工作。疗效判定:痊愈:PASI评分减少95%以上;显效:PASI评分减少60~94%;有效:PASI评分减少30一59%;无效:PASI评分减少<30%。3.不良反应记录:详细记录不良反应出现的时间、症状、程度、是否经过特殊处理、消失时间等。4.统计学方法:数据集选择意向性分析(ITT)。采用SPSS软件统计分析,计量资料采用t检验,以x士s表示,计数资料采用卡方检验。结果;治疗组痊愈例1,显效3例,有效10例,无效5例,痊愈显效率为21.05%,总有效率(痊愈+显效十有效)为73.68%;对照组痊愈0例,显效4例,有效15例,无效4例,痊愈显效率为17.39%,总有效率(痊愈+显效+有效)为82.6%1。经卡方检验,两组患者临床疗效无显著性差异(P>0.05)。"					
58	赵炳南	赵炳南验方止痒合剂联合卡介菌多糖核酸治疗慢性荨麻疹	观察研究	中药止痒合剂	慢性荨麻疹	"止痒合剂组成:苦参巧g、当归10g、防风10g、刺漠黎15g、白鲜皮30g、首乌藤30g。随证加减:兼风热者加元参巧g、金银花10g、、赤芍巧g、丹皮巧g、桑白皮10g、淡竹叶10g;兼风寒者加麻黄6g、杏仁10g、干姜皮6g、浮萍10g、白僵蚕6g;兼脾胃湿热者加黄答15g、胆草10g、桅子10g、滑石10g、丹皮15g、陈皮10g、获荃皮巧g;兼气阴两虚者加黄茂3馆、白术10g、荆芥1鲍、何首乌30g、熟地巧g、白芍15g、地骨皮巧g。上方每日1剂,水煎两次取汁兑匀,分2一3次温服。卡介菌多糖核酸注射液每次2ml肌肉注射,隔日1次。以上剂量儿童酌减,14天为一疗程,连用2一3个疗程。86例患者治疗期间,除7例因全身症状严重采用短程联合用药及对症治疗外,其余病例均根据症状不用或短程少量口服抗组织胺药。"	"王斌.赵炳南验方止痒合剂联合卡介菌多糖核酸治疗慢性荨麻疹[A].中华中医药学会.中华中医药学会皮肤科分会第六次学术年会、赵炳南学术思想研讨会、全国皮肤科中医外治高级研修班论文集[C].中华中医药学会:,2009:1."						
59	赵炳南	赵炳南用清热除湿汤治疗急性湿疹（湿热证热重于湿型）的临床经验探析	随机对照试验	清热除湿汤	急性湿疹		"蔡念宁,李敏,张广中.赵炳南用清热除湿汤治疗急性湿疹(湿热证热重于湿型)的临床经验探析[A].中华中医药学会、重庆市中西医结合学会.中华中医药学会皮肤科分会第七次学术年会、2010年重庆四川中西医结合皮肤性病学术年会、全国中西医结合诊疗皮肤性病新进展新技术学习班论文汇编[C].中华中医药学会、重庆市中西医结合学会:,2010:2."						
60	赵炳南	赵氏凉血五根汤加减治疗结节性红斑	观察研究	凉血五根汤	结节性红斑	"服用凉血五根汤治疗,方药组成:金银花藤15g,紫草根10g,茜草根10g,白茅根15g,鸡血藤15g,伸筋草15g,川牛膝10g,丹参10g,红花6g,黄柏10g,生薏仁15g,防已10g,甘草3g。伴感冒发热加连翘15g,生石膏20g；咽疼加板蓝根15g,玄参10g；关节痛加秦艽10g,木瓜10g；病程长、结节硬加土贝母15g,夏枯草15g。每日1剂,早晚分2次服,每次取汁200ml,强的松片每次10mg,早晚各1次,连服7d为1个疗程,2个疗程后判断结果。

"	"景红梅.赵氏凉血五根汤加减治疗结节性红斑30例[J].中医药临床杂志,2008,02:126."						
61	赵炳南	赵氏引血疗法治疗下肢慢性溃疡	非随机对照试验		下肢慢性溃疡	"疮面周围皮肤常规消毒,用镊子酌是去掉疮口边缘锁口皮。取三棱针(以银制者为佳)沿疮周癖斑处快速垂直啄刺。刺法由密至疏,由深至浅,针距1~3分,以拔针见血如珠为度。每周引血两次,连用数周,待疮周暗紫色癖血斑转至红色止。引血疗法毕,疮面复盖殊红纱条。"	"陈凯,张志礼.赵氏引血疗法治疗下肢慢性溃疡74例[J].中国针灸,1995,01:50-51+62."						
