ID	名医	学术思想核心	学术思想内容	资料来源					
30	赵炳南	"在皮肤病发病方面有“ 风湿疡学说” ,在慢性顽固性皮肤病方面有“ 顽湿学说” "	"对赵炳南学术思想特色的认识
赵老师开宗明义, 首先讲的是“ 皮肤病统称风湿疡” , 用“ 风湿疡” 三个字解释皮肤病发病的因果关系。虽然一般中医都认识到风和湿与皮肤病发病关系密切, 但多归之为“ 风湿合邪” 或“ 湿热夹风” ,将两者仅视为相互兼夹的关系。赵老明确提出: “ 外受不洁之风与体内湿热之气相搏, 则生风湿疡, ” 说明外风激发体内湿热, 形成因果关系链。赵老强调: “ 风字从虫, 可能有类似病原体之意义” 。风作为流动的空气, 不仅是气象因素、物理因素, 而且其中漂浮着微生物、花粉、霉菌、尘瞒、颗粒污染物, 似可归入“ 不洁之风” 的范畴。体内存在湿热之气的人形成一种体质因素, 当受到不洁之风的侵袭, 相搏的结果, 使湿热由蕴藏状态转变为激化状态, 湿热之火点燃, 产生剧烈反应, 而无此种体质倾向的人不发生此种反应。一般中医仅认为湿热蕴藏于脏腑, 而赵老指出: “ 皮之下肌之外蕴藏有湿热、湿气, 外遭风侵袭, 即可得皮肤病。” 在皮之下肌之外相搏, 于是在皮肤激起反应。
赵老称急性湿疹为湿热性湿疡, 慢性湿疹为湿气性湿疡, 其中特别顽固、长期不愈者特称顽湿疡。此阶段皮肤增厚、粗糙、脱屑、干裂, 表面看已无湿的见证, 有些中医认为已转入血虚风燥, 湿已不是主要矛盾, 顶多只是余湿未尽。对此赵老提出具有特色的“ 顽湿学说” , 认为“ 患病日久夺气血” , 湿邪乘虚由浅层侵入深层, 更加粘滞胶结, 更难清除。由于顽湿阻滞经络, 障碍气血运行, 肤表失养, 故表现出血虚风燥的假象, 赵老有针对性地用全虫方搜剔通透经络及深层胶着之顽湿而生效。
中医有认为结节性痒疹符合《诸病源候论》中记载的马疥, 赵老则命名为“ 顽湿聚结”, 此名虽无中医文献根据, 但却能体现其顽湿学说的特点。此病多有感受虫毒史, 初发常为水, 疤湿疡(丘疹性尊麻疹), 日久不愈, 水疤湿疡之湿与虫毒之毒湿毒共聚为结节。一般中医常按气血淤滞结聚论治, 不太重视湿的因素的重要性。赵老则按湿毒痹顽结聚论治, 从《赵炳南临床经验集》中收载的验案来看后一治法疗效更佳。
对顽湿类皮损的演变, 赵老主张辨别其深浅与聚散, 由浅入深, 由散而聚为加重, 由深转浅, 由聚转散为减轻。其中由聚转散的现象, 赵老形容为“ 化整为零, ” 包括原大片皮损残留的多数小块, 中央消退边缘残存等都认为是向好的表现。
皮肤病的瘙痒, 一般中医常区分为风痒、湿痒、虫痒、燥痒、虚痒等。赵老并未如此表述, 而注意其间的共性, 必有共同的致痒病机。“ 痒为痛之渐” , 既有“ 不通则痛” 、“ 不荣则痛” 、“ 久痛入络” 之说,亦可说“ 不通则痒” 、“ 不荣则痒” 、“ 久痒入络” 。顽湿疡即为久痒入络, 表现为深痒。赵老说有些病人服全虫方后逐渐由深痒转为浅痒。每当患者就诊时叙述自己服药后的体会与赵老深痒转浅痒之说符合时, 赵老即提示大家注意此现象。
赵老认为生于手背、足背、耳轮等多皮、多筋、多骨、少肉部位的限局性湿疹最难治愈, 多形成顽湿。最典型者为耳轮顽湿, 俗称“ 糖耳朵” , 长期流水浸渍。此类呈亚急性湿疹状态, 与前述慢性湿疹形成顽湿疡的发生机制不同, 主要是发病部位的不利因素起作用, 此为赵老顽湿学说的另一个方面。
赵老说中医内科辨证讲求精详, 中医外科(包括皮外科) 辨证则讲求重点突出。中医外科书籍普遍以阴阳辨证为总纲, 如《洞天奥旨· 疮疡阴阳论》谓: “ 疮疡最要分辨阴阳, 阴阳不明, 动手即错。” 阴阳在八纲中概括其他六纲, 也应是其他各种辨证的总纲。阴阳为纲, 其他为目, 辨明阴阳, 纲举目张。赵老对皮肤病主张首辨阴阳,1963 年在皮肤科学会作了一次“ 皮科辨别阴阳” 的讲座, 重点讲皮肤病阴证的辨证特点, 并讲述20 多个阴证病种, 多属湿气性皮肤病, 赵老说的皮肤病阳证也多属湿热性皮肤病。1954 年皮研所讲课, 讲义中谓: “ 中医诊皮肤病须辨其为湿热性抑湿气性, ” 分别讲了湿热性和湿气性皮肤病的辨证要点, 可见赵老对皮肤病首辨阴阳即以辨湿热性与湿气性为重点。可能有人会认为这样辨证过于简略, 不太全面, 其实这样才符合中医外科传统, 能免于繁琐, 有其实用性及针对性。而在皮肤病辨证中将八纲.脏腑、气血、经络、六经、卫气营血辨证依次排开, 相互平列的安排, 虽有比较精详和全面的优点, 但是这种将纲和目平行并列, 不突出总纲的做法, 显然不符合中医外科的传统和赵老的主张。由于赵老很少有著作, 加之被一些间接说法所混淆, 赵老原生态的论述内容反而不太为人知晓。
要说不全面, 其实是“ 有所偏” 。古代中医各家流派均有所偏, 李东垣偏于补土, 朱丹溪偏于养阴,王洪绪《外科证治全生集》偏于治阴证, 创著名方剂阳和汤, 学术观点也有其偏执的一面。正因为有所偏, 才在其偏爱的一面研究比较深入, 形成特色。赵老的学术观点, 在皮肤病发病方面有“ 风湿疡学说” ,在慢性顽固性皮肤病方面有“ 顽湿学说” , 都是具有特色的学术思想。在皮外科首辨阴阳方面, 以辨湿热性及湿气性皮肤病为重点。他在临床上最常用的三个方剂, 龙胆泻肝汤为湿热性皮肤病主方, 除湿胃荃汤为湿气性皮肤病主方, 全虫方为顽湿疡主方。预防及护理方面所拟“ 湿疡禁忌单” , 亦针对与湿有关的皮肤病。把这些特点结合在一起, 赵炳南学说思想特色是否可以说是偏重在皮肤病辨湿治湿方面有待研讨。"	"方大定.赵炳南学术思想特色与风范[J].北京中医药,2009,07:508-510."					
31	赵炳南	整体观念的运用及强调内治	赵炳南对湿疹的研习思路受《医宗金鉴·外科心法要诀》重视内治的影响，其中医整体观念的运用贯穿于湿疹证治的整个过程，他指出：“皮肤疮疡虽形于外，而实发于内。没有内乱，不得外患。皮肤病损的变化与阴阳之平衡、卫气营血之调和、脏腑经络之通畅息息相关。”即皮损虽见于外，却是内部病变的反映。	"李红兵,徐萍,王晓红.当代名家湿疹内治要点概述[J].江苏中医药,2014,08:78-81."					
32	赵炳南	风湿疡是皮肤病的“统称”	"赵炳南提出“风湿疡”一词，作为皮肤病的统称，并对“风湿疡”三字的含义做过精辟讲解，从中体现出他具有特色的学术思想和创新见解。其意义大致如下：①风：风字从虫，可能有类似病原体之意义。外受不洁之风，与体内湿热之气相搏，则生风湿疡。②湿：指皮之下肌之内蕴藏有湿热、湿气，外遭风侵袭即可得皮肤病。③疡：疡近乎痒，痒近乎扬散意。赵老说：“外受不洁之风，与体内湿热之气相搏，则生风湿疡”.这句话中，“相搏”二字是一个关键词，这在中医文献中有其渊源。巢元方《诸病源候论·头面身体诸疮候》即指出：“湿热相搏，故头面身体皆生疮”。赵老进一步发展了湿热相搏的概念，提出风与湿热相搏之说，这实际上是两重相搏，相搏力度更大，反应更剧烈。中医注意到湿热相合，如油入面，有难解难分的缠绵效应。事实上，湿热之间还有相互关系的另一面，即湿热相搏引起急性发作的暴发效应。取类比象来说，好似热锅内残油未净，洒进水后，引起油滴、水滴四溅的暴发现象。由湿热相搏的暴发效应过度到湿热相合的缠绵效应，反映出急性湿疹、皮炎向亚急性、慢性的演变过程。这样就丰富了中医湿热相互关系的内涵，体现得更为全面。
    赵老除认为湿热蕴藏于脏腑外，在皮肤病中还有特定的蕴藏部位。讲义抄录赵老对于“湿”的解释是：“湿指皮之下肌之内蕴藏有湿热、湿气，外遭风侵袭即可得皮肤病。”皮之下肌之内是皮肤病患者湿热蕴藏之处，也是风与湿热相搏的战场，皮肤病变也就在此处产生。赵老说的皮之下肌之内，是指由皮肤向下如果穿过肌肉就算“肌之外”，在未穿过肌肉时，即属“肌之内”。这与《说文解字》所说的“疡起皮里肉之外”实际指的是同一部位，即皮肤与肌肉之间，只是表达用词不一样。湿热为患，除引发皮肤病变外，还可引起其他不同部位的疾患。从中医辨证来说，定性同属湿热，而定位不同。赵老此种定位之说与西医靶器官概念有十分相似的含义。鉴于既往中医书籍中均无此种皮肤病湿热蕴藏定位的记载，赵老此说亦属具有特色的学术见解。"	"方大定.从“风湿疡”看赵炳南学术思想特色和创新见解[J].中国中西医结合皮肤性病学杂志,2010,05:267-269."					
33	赵炳南	"重视对心和肝胆的辨证,善用龙胆泻肝汤"	"重视对心和肝胆的辨证,善用龙胆泻肝汤。赵老认为湿疡之为病,虽起于湿热,但急性发病,多热重于湿,赵老抓住这一病机, 以《医宗金鉴》龙胆泻肝汤为基础, 弃柴胡升散,不用五味子敛阴,加人自创的以清心火为主的“三心方” 莲子心、连翘心、生栀子随证再加人除湿疏风之品, 临床治疗急性炎症性疾病每收良效气。
"	"王天怡,庞博,宋坪. 当代中医皮外科名家学术特色与流派探讨[J]. 北京中医药,2012,10:746-750."					
34	赵炳南	"主张整体表现和局部体征结合,重视整体表现辨阴阳"	"赵老晚年受清代王维德《外科全生集》影响,强调临证首辨阴阳,对于表现类似的疾病要辨明证之阴阳主张整体表现和局部体征结合,重视整体表现辨阴阳,对于局部红斑、疼痛类似阳热证,但从整体表现及舌脉判断为寒湿凝滞, 气血阻隔的阴寒证, 治宜温经通络、活血破瘀同一证候中再辨阴阳,临床如见口舌生疮而又腹胀腹泻等上热下寒之象, 治以调和阴阳之法。赵老自拟基本方药“四藤” 天仙藤、鸡血藤、首乌藤、钩藤,他认为鸡血藤、天仙藤性温通, 活血养血,舒筋通经,可治在下的腰膝酸软、麻木瘫痪、月经不调首乌藤性平,养血通络, 引阳人阴钩藤性凉,透发邪热,能在上清热平肝、定惊除眩。四药凉温同用、承上启下、养血活血、温经清热,共奏调和阴阳之功。"	"王天怡,庞博,宋坪. 当代中医皮外科名家学术特色与流派探讨[J]. 北京中医药,2012,10:746-750."					
35	赵炳南	赵老临床善用阴阳辨证	"认为调和阴阳在皮肤科疾病中,也占有重要位置善用天仙藤、鸡血藤、首乌藤、钩藤为基本方药。赵老认为:天仙藤、鸡血藤性温通,活血养血,舒筋通经,可治在下的腰膝酸软、麻木瘫痪、月经不调;首乌藤性平,养血通络,引阳入阴;钩藤性凉,透发邪热,能在上清热平肝、定惊除眩。可见,四药为凉温同用、承上启下、养血活血,温经清热,共奏调和阴阳之功。"	"赵岩松,耿学英,宋乃光,蔡念宁,张苍.浅谈阴阳辨证与赵炳南的辨证思想[A].中华中医药学会.中华中医药学会皮肤科分会第六次学术年会、赵炳南学术思想研讨会、全国皮肤科中医外治高级研修班论文集[C].中华中医药学会:,2009:4."					
36	赵炳南	首辨阴阳	赵炳南先生冶疗皮肤病以“首辨阴阳”为原则，尤其是对于与湿相关的皮肤病，重点是辨别疾病属于湿热性亦或是湿气性；是热重于湿抑或是湿重于热。这点尤其体现在对湿疹和带状疱疹的辨证冶疗上。学习和继承赵炳南学术思想，就应该坚持“首辨阴阳”的原则	"李伯华,周冬梅,张广中.浅谈赵炳南“首辨阴阳”学术思想对皮肤病湿证治疗的指导作用[A].中国中西医结合学会皮肤性病专业委员会.2014全国中西医结合皮肤性病学术年会论文汇编[C].中国中西医结合学会皮肤性病专业委员会:,2014:1."					
37	赵尚华	银屑病“血热风燥，日久蕴毒”的发病机制	查阅大量的古代文献，对本病的病因病机的认识大致分两个阶段，明以前以“外邪致病”为多，明以后则认为内外因相互作用而致病，如隋代《诸病源候论》中认为多由“风湿邪气，客于腠理引发”；而清《外科大成·卷四·白疕》说：“白疕，肤如疹疥，色白而痒，搔起白疕，俗称蛇虱，由风邪客于皮肤，血燥不能荣养所致，宜搜风顺气丸，神应养真丹加白蛇之类。”且《医宗金鉴》说：“白疕之形如疹疥，色白而痒多不快。固由风邪客肌肤，亦由血燥难荣外。”……从这不难看出，多数医家认为“血燥”是其主要的病机。此外，当代医家大都认为本病是内因、外因共同致病，导致了血分的异常，而血热表现最为常见，此外血燥、血虚、血瘀亦被广泛论述；外因包括风、寒、湿、热、燥、毒等。因此出现了依据病期、症状、体征表现等形成了不同的辨证分型，治疗方案百花齐放的局面。赵尚华老师继承赵炳南、朱仁康教授等观点并发扬光大，认为银屑病病机多为风燥热蕴，蓄而不散，“燥久生热，热久生毒”出现皮损色红或淡红，鳞屑层层，大小不等的斑片状，或痒或痛等症状，提出了“血热风燥，日久蕴毒”的发病机制。	"贾颖,赵晓转,赵尚华.土槐丹四物汤加味治疗寻常型银屑病的经验[J].山西中医学院学报,2012,06:42-43."					
38	朱仁康	整体观念的运用及强调内治	朱仁康则受《疡科心得集》中“外疡与内证异流同源”的影响，临床尤重内因，重视内治。	"李红兵,徐萍,王晓红.当代名家湿疹内治要点概述[J].江苏中医药,2014,08:78-81."					
39	朱仁康	"辨证尤重内因, 四诊尤重望诊，善用养阴,创制滋阴除湿汤；善从卫气营血理论辨证皮肤病"	"朱老非常重视皮损部位、皮损颜色与经络脏腑的关系。辨部位论治皮病脂溢性皮炎、颜面丹毒等生于面部的皮损,属阳明经,朱老常用白虎汤治疗以清阳明实热,益胃汤以养胃阴带状疙疹生于胸胁者属肝胆,朱老多用龙胆泻肝汤治疗以清肝胆湿热脾主四肢肌肉, 湿疹皮炎生于四肢者多责之于脾胃,常用除湿胃苓汤、化湿汤等治疗。部位不同,同病异治,如痤疮虽多为肺胃热盛,然发病部位不同,所属脏腑各异,发于额头多为肺热,发于口鼻周围责之脾胃湿热, 两颊多责之肝郁化热,下颊多者相火妄动。皮损色白属寒属肺,皮损色红属热属心。朱老主张,如果把皮损所在部位及其形色结合分析, 对皮肤病的性质和所属脏腑病变就可窥其全貌再综合全身症状进行分析判断,虽不能尽愈诸疾,庶可以见病知源。朱仁康临证如见皮肤出现大片潮红,层层脱屑,往往从阴液耗伤,肌肤失养辨证, 治以滋阴增液,选用生地、玄参、麦冬、石斛及龟板、鳖甲等血肉有情之品, 以润其肤,并配合丹皮、银花等药解毒凉营。对于临床阴伤湿恋的病证,如病情反复发作, 口干渴却不思饮,舌质红绛而少津,脉细滑或弦细,皮损表现为丘疹散在,渗水不多而持日较久,皮肤干燥或有脱屑,瘙痒不止者,单用滋阴养血则腻滞恋湿, 如仍投渗利苦燥则更伤阴血,或滋或渗,治有两难。朱仁康针对上述复杂病情的辨证特点,确立了滋阴除湿法,并自拟滋阴除湿汤：生地一两、元参四钱、当归四钱、丹参五钱、茯苓三钱、泽泻三钱、白鲜皮三钱、蛇床子三钱,用药仅寥寥八味,但却滋阴化湿兼顾,诚见其对滋阴法的妙用卓识。 对于炎性皮肤病,红肿热痒明显者,朱仁康根据叶桂“卫之后方言气, 营之后方言血”的温病学说,将其治法归纳为“在卫汗之,到气清气,透热转气, 凉血散血”四原则,并对银翘散、白虎汤、清营汤、犀角地黄汤、竹叶石膏汤等综合分析, 撷其要领,创制经验方皮炎汤：生地一两、丹皮三钱、赤芍三钱、知母三钱、连翘三钱、竹叶三钱、银花三钱、生石膏一两、生甘草二钱, 以清营解毒,对药物性皮炎、接触性皮炎、日光性皮炎、过敏性皮炎等多种急性皮肤病症卓有实效,应手而愈。朱老治疗中尤其重视“透热转气”,治疗斑疹隐隐,压之退色的皮损时常加人银花、连翘、竹叶等药物, 以使营分邪热透达外出, 临床上常取得意想不到的疗效。"	"王天怡,庞博,宋坪. 当代中医皮外科名家学术特色与流派探讨[J]. 北京中医药,2012,10:746-750."					
40	朱仁康	病生于外，其本在内	"人体是一个有机的整体, 浅表疾病与整体气血阴阳有着紧密的联系, 气血阴阳失调, 体现在局部即可出现皮肤病变, 因此, 朱老特别重视体内脏腑、气血、经络功能失调对皮肤的影响, 主张皮肤病的治疗应以内治为主。"	"白方树.朱仁康治皮肤病经验简介[J].新中医,1993,07:42-43."					
41	朱仁康	"辨证用药, 证疹合参"	"皮肤病生于外, 有形可征, 又有其独自的特点, 临床辨证用药应证疹合参, 既要重视全身症状, 又要重视皮疹的颜色、色素沉着与脱失、皮损处的渗出情况及痒痛麻木等。全身症状辨治同内科。"	"白方树.朱仁康治皮肤病经验简介[J].新中医,1993,07:42-43."					
42	朱仁康	"六淫致病, 独重湿热"	"风、寒、暑、湿、燥、火六淫, 可单独或相杂致病, 其中湿邪最易与热邪结合致病, 湿热蕴蒸, 郁滞肌肤, 可发生许多皮肤疾病。故朱老特别重视湿热对皮肤的影响, 除湿疹、尿布皮炎、稻田皮炎、丹毒等由湿热之邪所致疾病外, 认为脂溢性皮炎、日光性皮炎、神经性皮炎、带状疤疹、硬皮病等也和湿热之邪有关。所以在临床中只要皮损色红、有渗出, 或本病是由内湿所致者, 多用清热利湿法, 常用药物有黄答、白薄皮、苦参、黄柏、茯苓、泽泻等。"	"白方树.朱仁康治皮肤病经验简介[J].新中医,1993,07:42-43."					
43	朱仁康	"辨证尤重内因,四诊尤重望诊"	朱仁康在临床辨治过程中，赞赏高锦庭的所言，认为皮肤疮疡的发生有外因、内因，内因外因不能截然分开，而内因是根本，是内服药治疗皮肤病的主要依据。对于内因，朱仁康尤重视营血变化对皮肤病的影响。曾言：“皮肤病的发生，与营血的关系甚为密切。临床上大致可分血虚、血热、血瘀、血燥四者”。进一步发挥了前人“治风先治血，血行风自灭”的理论，而且对于内风的产生机理，较前人更加具体。清代名医林之翰曾云：“四诊为岐黄之首务，而望诊尤为切要”。朱仁康重视辨证论治，主张四诊合参，但因疮疡皮肤病发于体表，有形可见，更应重于望诊。皮肤病望诊包括辨形色、辨皮损等。朱仁康常从肝肾两脏辨黑斑，从卫气营血辨红斑等，体现了其重视整体，重视内因的学术思想。	"赵颖,黎立,王振国.朱仁康学术思想初探[J].辽宁中医药大学学报,2009,11:182-183."					
44	朱仁康	"主张中西医结合,辨证辨病结合"	朱仁康认为西医治病，着重辨病，中医治病，着重辨证，两者必须互相结合，可以根据西医诊断，再从中医辨证，属于哪种证。病证同辨是做好中西医结合工作的重要环节。在临床实践中，朱仁康既遵循中医辨证论治的基本原则，以辨证为主，同时又吸收现代医学的理论学说，衷中参西，提高了临床组方用药的针对性及整体性。如疣，西医认为属病毒感染性疾病，朱仁康治疗各种疣类的经验方去疣二号方、去疣三号方中含有现代药理证实具有抗病毒作用的马齿苋、大青叶、紫草等清热解毒的中药，取得了较好的疗效。又如银屑病，鉴于西医抗肿瘤药物有效，但副作用较大，朱仁康选择一些既有清热解毒作用，同时又有抗肿瘤作用的中草药，再根据中医理论辨证组方，如“克银一号”方等，副作用小，疗效好，从而为中医治疗银屑病开拓了新途径，为中西医结合治疗皮肤病提供了思路。	"赵颖,黎立,王振国.朱仁康学术思想初探[J].辽宁中医药大学学报,2009,11:182-183."					
45	朱仁康	重视气血与皮肤病的密切关系	"气血失和可引起种种皮肤病,朱老尤其重视营血变化对皮肤病的影响。,他说:“皮肤病的发生,与营血的关系甚为密切。临床上大致可分血虚、血热、血癖、血燥四者。”例如营血虚弱,肝经血亏,爪失血养则爪甲枯稿,而生甲病。血热偏盛,壅溢肌肤而生斑,如紫斑病(过敏性紫瘫等)。风寒温阻于经络,气滞血瘀,着于皮肤则为皮痹(硬皮病)等。"	"李林.朱仁康学术经验初探[J].中医杂志,1981,10:18-21."					
46	朱仁康	"重视内因,突出风湿热在皮肤病发病中的重要作用"	"皮肤病的发生有内因外因。朱老重视以内因为主,他说:“内因外因互相关联,不能截然分开,而以内因为主。”根据皮肤科常见病、多发病的发病情况,认为风湿热三者致病居多。风湿热有内外之分,内风、内湿、内热(火)系由脏腑气血功能失调所生,为发病的基础,为本;外风、外湿、外热属外感六淫邪气,为致病的条件,为标。内风湿热的存在往往易招致外风湿热的侵袭,相反外风湿热的侵袭又会引动内风湿热,相互搏结,壅聚于体表肌肤而发病。"	"李林.朱仁康学术经验初探[J].中医杂志,1981,10:18-21."					
47	朱仁康	皮肤病辨病辨证	"皮肤病的辨证不仅可用四诊、八纲、气血、脏腑等辨证方法去分析全身症状,更要辨别皮肤局部外在表现。辨全身症状与内科相同。辨皮损形色,朱老常将前人经验及其个人体会结合起来,用于临床。兹从风湿热三个方面举例分述如下:风症:风性善行而数变。皮肤局部肿起比较宣浮,随处可生,游走不定,倏现倏隐,皮损色白或浅淡者为风寒,色红赤者为风热。皮损初起疹点成片,层层脱屑为风燥。若皮损斑点潮红,微痒者属血热风燥;若皮损色浅红或不红,鳞屑飞舞,痰痒无度者属血虚风燥。其它如头发突然成片脱落,重则须眉俱落,称为油风(斑秃),为血热生凤,风动叶落。皮肤瘙痒极甚,抓之随手出现红色条索状隆起,为血热风盛。湿症:湿为阴邪,其性粘腻。皮肤渐起丘疱疹、水疱、大疱及脂水渗出,湿烂结痂,均属湿热为患。若有浆痂者为湿毒。皮肤瘙痒,起红丘疹,抓之流水不多者为风湿。上身多见者为风重湿轻,下身多见者为风轻湿重。皮下有结节而肤色不变,为寒湿凝滞。热症:局部皮肤弥漫红肿及大片红斑均属热:,红斑压之退色为气分有热,压之不退色属血分有热。斑色红紫为郁热深久。红斑上见有水疱为湿热。红斑上见有血疱为血热。丘疹色红而干为热。丘疹色红而痒为风热。脓疱周边有红晕为毒热。红斑结节为湿热蕴结,气滞血瘀。"	"李林.朱仁康学术经验初探[J].中医杂志,1981,10:18-21."					
48	朱仁康	热毒壅结是外科疮疡的主要病机	"朱老认为“毒”为疮疡外科临床表现的病理特点之一,热毒壅结是外科疮疡的主要病机。热毒亦有内外之分。外邪所感,气血壅聚而成毒。外感之热,常与风、湿、暑等阳邪结合而化为风热、湿热、暑热,且此三类皆易化毒,如湿热化为火毒则为下肢丹毒;颜面丹毒则有风热化毒而成;暑热化为火毒则成汗腺炎、疖肿;火热之气亦可以直接伤及皮肤,如烧伤。七情内伤,则气血郁热蕴结成毒,如心火亢盛,引发血热,易发疮疡;脾经积热则易成单纯疱疹;带状疱疹则多为心肝之火;鼻皶、粉刺则由肺火上扰而成。"	"杨卫.朱仁康从“毒”论治皮肤病的数据挖掘[D].北京中医药大学,2014."					
49	朱仁康	从毒论治疮疡外科	"朱老从毒论治疮疡外科,将毒分为内毒和外毒,外毒多实证,法用清热解毒,内毒多虚证,法用滋阴解毒。而痈疽为病源于火毒,朱老治疗痈疽时,:注意清热解毒药物与托毒药物配伍使用,清热解毒药物大多苦寒,朱老主张中病即止,以防苦寒败胃。六淫皆可化火、化毒,化毒之后,病邪仍会保留其致病特征,故清热解毒药物常配伍祛湿、祛风药物。邪气蕴结不解谓之毒,故朱老在使用祛瘀法时,也可配合清热解毒药物的使用。"	"杨卫.朱仁康从“毒”论治皮肤病的数据挖掘[D].北京中医药大学,2014."					
50	张志礼	中医辨证与西医辨病相结合	1.皮肤病的中医辨证 他认为八纲辨证是皮肤病辨证的基础，还要灵活运用病因辨证、气血津液辨证、脏腑辨证、卫气营血辨证等方法，尤其要结合皮肤损害及患者的自觉症状综合辨证，才能对皮肤病有深刻的认识。2完整的皮肤病内治法则 皮肤病的病因复杂论治要从产生皮肤病的病因和皮肤损害的表现着手。	"王萍,张芃.张志礼教授生平[A].中国中西医结合学会皮肤性病专业委员会.2001年中国中西医结合皮肤性病学术会议论文汇编[C].中国中西医结合学会皮肤性病专业委员会:,2001:1."					
51	张志礼	辨证与辨病相结合	中西医结合疗法就是采用辨证与辨病相结合的方法，运用现代医学的检测手段，对本病的临床和实验检查结果进行分析，分型施治，抓住主要矛盾进行中西药的有机配合治疗，才能取得相辅相成、互补的满意效果。	"张秡,王萍. 张志礼教授治疗系统性红斑狼疮的临床经验[J]. 中国中西医结合皮肤性病学杂志,2003,03:135-138."					
52	张志礼	注重扶正重于祛邪	"张教授指出, 系统性红斑狼疮的临床征象虽然复杂, 但“虚” 是本病之本, 机体阴阳失调,气血失和造成的机体机能与代谢失调, 体质虚弱,抵抗力下降, 是发病的根本原因。所以, 在治疗本病时, 要切记“虚” 是本病之本, 补虚是临床治疗的重要法则。要注重扶正重于祛邪的指导思想, 用药多以调和阴阳、补益气血、活血化痪通络治其本, 以清热解毒、疏肝理气、养血安神治其标。"	"张芃,王萍. 张志礼教授治疗系统性红斑狼疮的临床经验(二)[J]. 中国中西医结合皮肤性病学杂志,2003,04:201-205."					
53	张志礼	“虚”是系统性红斑狼疮之本	"张老师积数十年治疗LE经验,指出本病临床征象虽然复杂,但“虚”是本病之本,阴阳失调,气血失和造成的机体机能与代谢失调、体质虚弱,抵抗力下降,则是发病的原因。急性期病情突出表现为毒热的标象,从根本上看还是虚中挟实,标实本虚,而慢性病人更是久病为虚,虚中有虚。在治疗本病时,应切记虚是本病之本,始终坚持扶正重于祛邪的指导思想,即使在急性期本着“急则治其标”的原则,采用清热解毒凉血药,也不要忘记顾护阴液。病情迁延后的分型辨证,则均以扶正固本为基本原则。这些阐发LE病的学术观点,切中肯綮,对临床有重要的指导意义。"	"时水治.张志礼治疗系统性红斑狼疮的经验[J].北京中医杂志,2001.08,21(4):206-207"					
54	张志礼	辨证辨病相结合	"急性活动期病情凶险,以激素治疗为主,辅以中药扶正。待急性病情控制,或患者对激素及免疫抑制剂治疗效果不好时,中药则上升为主导地位。应合理递减激素用量,或缩短激素作用时间,避免由于长期使用激素引起的副作用和合并症。他采用中药配合小剂量激素法,大大提高了疗效,通过1029例患者临床观察,其有效率及10年以上存活率明显高于单纯西药及单纯中药治疗组,并改善了患者的生存质量。"	"张芃 ,王萍. 张志礼治疗系统性红斑狼疮经验[J]. 北京中医,1999,02:5-6."					
55	张作舟	从毒论治皮肤病	"张老结合皮肤病的临床表现, 提出皮肤病“热聚而成毒”的观点。风、湿、热邪是皮肤科最常见的致病因素, 这些邪气侵及人体后, 若不能及时化解, 与阳热体质相合, 极易化火, 蕴而成毒;若邪气伏于体内不发, 感春夏温热之气, 则伏毒自内而出, 表里皆热, 熏蒸体肤, 而成疾患;如若内伤七情, 更易五志化火, 宣泄不得, 蕴毒生热, 发为皮肤疾患。"	"郝淑珍,宋坪.张作舟教授从毒论治皮肤病初探[J].社区中医药,2007,23(9):150."					
56	赵炳南	用整体观念来认识疾病	"“ 皮肤疮疡虽形于外, 而实发于内。没有内乱, 不得外患。” "	"张志礼,孙在原,陈凯,邓丙戍. 赵炳南[J]. 中国医药学报,1987,04:55."					
57	赵炳南	临证首辨阴阳	"临证强调首辨阴阳, 若阴阳不辨, 妄自投药, “ 扰以安胎之药, 服其夫也” 。"	"张志礼,孙在原,陈凯,邓丙戍. 赵炳南[J]. 中国医药学报,1987,04:55."					
58	赵炳南	"既重视整体, 又不忽略局部的全面治疗的思想"	"不仅重视内治与方药, 而且特别强调外治的辫证和用药方式。对于外用药的配制、使用有独到之处. 他首创的拔膏疗法, 对27种皮外科疾患有很好疗效.又如黑布膏药治疗瘢痕疙瘩, 熏药疗法治疗顽癣等, 在国内外文献中均已报道。另外,他对熬骨药、摊青药、搓药捻、撒药扮、针利行血、化腐生肌等多种疗法和操作技术,都娴熟精通。"	"张志礼,孙在原,陈凯,邓丙戍. 赵炳南[J]. 中国医药学报,1987,04:55."					
59	赵炳南	强调治病要从整体出发，重视顾护气血的平衡。	赵炳南强调治病要从整体出发，辨证时必首辨阴阳，分清虚实，补其不足，损其有余。另外，赵炳南还重视顾护气血的平衡。气属阳，血属阴，人身气血，各具阴阳之性，互为其根，以维护人体的健康。气血畅通条达则正气充实、阴平阳秘，疾病得以治愈。	"李敏,张苍,蔡念宁.赵炳南：调和阴阳治慢性荨麻疹[N].中国中医药报,2012-05-23004."					
