head,head_type,tail,tail_type,relation,journal_id,docs
膏剂,方子,6首,数量,包括,2024547,"""略论赵炳南教授用药之道 <正>引言首先了解""""道""""的含义,《说文解字》说:""""道者,人所行"""",引申为""""道理"""";现在字典、词汇、辞海等书,综合古今资料,将""""道""""的含义解释达13种之多,这里主要是指""""学术的思想体系。""""很明显,""""道""""的境界明显高于经验谈之类,这就是我用""""道""""的出发点。我阅读《赵炳南临床经验集》后,初步统计,书中内服经验万包括汤剂24首,丸丹药8首,膏剂6首,合计38首。外用方药包括散剂18首,软膏30首,药油5首,酒浸、水浸、醋浸7首。洗剂10首,药捻7首,合计77首。内服方与外用方总计为115首。如此众多经验方的公开,不仅反映了赵老不吝密术,普济众生的仁泽之心,而且是迄今为止的献方之冠。"""
散剂,外用方药,18首,数量,包括,2024547,"""略论赵炳南教授用药之道 <正>引言首先了解""""道""""的含义,《说文解字》说:""""道者,人所行"""",引申为""""道理"""";现在字典、词汇、辞海等书,综合古今资料,将""""道""""的含义解释达13种之多,这里主要是指""""学术的思想体系。""""很明显,""""道""""的境界明显高于经验谈之类,这就是我用""""道""""的出发点。我阅读《赵炳南临床经验集》后,初步统计,书中内服经验万包括汤剂24首,丸丹药8首,膏剂6首,合计38首。外用方药包括散剂18首,软膏30首,药油5首,酒浸、水浸、醋浸7首。洗剂10首,药捻7首,合计77首。内服方与外用方总计为115首。如此众多经验方的公开,不仅反映了赵老不吝密术,普济众生的仁泽之心,而且是迄今为止的献方之冠。"""
软膏,外用方药,30首,数量,包括,2024547,"""略论赵炳南教授用药之道 <正>引言首先了解""""道""""的含义,《说文解字》说:""""道者,人所行"""",引申为""""道理"""";现在字典、词汇、辞海等书,综合古今资料,将""""道""""的含义解释达13种之多,这里主要是指""""学术的思想体系。""""很明显,""""道""""的境界明显高于经验谈之类,这就是我用""""道""""的出发点。我阅读《赵炳南临床经验集》后,初步统计,书中内服经验万包括汤剂24首,丸丹药8首,膏剂6首,合计38首。外用方药包括散剂18首,软膏30首,药油5首,酒浸、水浸、醋浸7首。洗剂10首,药捻7首,合计77首。内服方与外用方总计为115首。如此众多经验方的公开,不仅反映了赵老不吝密术,普济众生的仁泽之心,而且是迄今为止的献方之冠。"""
药油,外用方药,5首,数量,包括,2024547,"""略论赵炳南教授用药之道 <正>引言首先了解""""道""""的含义,《说文解字》说:""""道者,人所行"""",引申为""""道理"""";现在字典、词汇、辞海等书,综合古今资料,将""""道""""的含义解释达13种之多,这里主要是指""""学术的思想体系。""""很明显,""""道""""的境界明显高于经验谈之类,这就是我用""""道""""的出发点。我阅读《赵炳南临床经验集》后,初步统计,书中内服经验万包括汤剂24首,丸丹药8首,膏剂6首,合计38首。外用方药包括散剂18首,软膏30首,药油5首,酒浸、水浸、醋浸7首。洗剂10首,药捻7首,合计77首。内服方与外用方总计为115首。如此众多经验方的公开,不仅反映了赵老不吝密术,普济众生的仁泽之心,而且是迄今为止的献方之冠。"""
药物,内服药,三七粉,药物,成分,2024547,"""略论赵炳南教授用药之道 <正>引言首先了解""""道""""的含义,《说文解字》说:""""道者,人所行"""",引申为""""道理"""";现在字典、词汇、辞海等书,综合古今资料,将""""道""""的含义解释达13种之多,这里主要是指""""学术的思想体系。""""很明显,""""道""""的境界明显高于经验谈之类,这就是我用""""道""""的出发点。我阅读《赵炳南临床经验集》后,初步统计,书中内服经验万包括汤剂24首,丸丹药8首,膏剂6首,合计38首。外用方药包括散剂18首,软膏30首,药油5首,酒浸、水浸、醋浸7首。洗剂10首,药捻7首,合计77首。内服方与外用方总计为115首。如此众多经验方的公开,不仅反映了赵老不吝密术,普济众生的仁泽之心,而且是迄今为止的献方之冠。"""
汤剂,内服方,三七粉,药物,成分,2024547,"""略论赵炳南教授用药之道 <正>引言首先了解""""道""""的含义,《说文解字》说:""""道者,人所行"""",引申为""""道理"""";现在字典、词汇、辞海等书,综合古今资料,将""""道""""的含义解释达13种之多,这里主要是指""""学术的思想体系。""""很明显,""""道""""的境界明显高于经验谈之类,这就是我用""""道""""的出发点。我阅读《赵炳南临床经验集》后,初步统计,书中内服经验万包括汤剂24首,丸丹药8首,膏剂6首,合计38首。外用方药包括散剂18首,软膏30首,药油5首,酒浸、水浸、醋浸7首。洗剂10首,药捻7首,合计77首。内服方与外用方总计为115首。如此众多经验方的公开,不仅反映了赵老不吝密术,普济众生的仁泽之心,而且是迄今为止的献方之冠。"""
丸丹药,内服方,三七粉,药物,成分,2024547,"""略论赵炳南教授用药之道 <正>引言首先了解""""道""""的含义,《说文解字》说:""""道者,人所行"""",引申为""""道理"""";现在字典、词汇、辞海等书,综合古今资料,将""""道""""的含义解释达13种之多,这里主要是指""""学术的思想体系。""""很明显,""""道""""的境界明显高于经验谈之类,这就是我用""""道""""的出发点。我阅读《赵炳南临床经验集》后,初步统计,书中内服经验万包括汤剂24首,丸丹药8首,膏剂6首,合计38首。外用方药包括散剂18首,软膏30首,药油5首,酒浸、水浸、醋浸7首。洗剂10首,药捻7首,合计77首。内服方与外用方总计为115首。如此众多经验方的公开,不仅反映了赵老不吝密术,普济众生的仁泽之心,而且是迄今为止的献方之冠。"""
膏剂,内服方,三七粉,药物,成分,2024547,"""略论赵炳南教授用药之道 <正>引言首先了解""""道""""的含义,《说文解字》说:""""道者,人所行"""",引申为""""道理"""";现在字典、词汇、辞海等书,综合古今资料,将""""道""""的含义解释达13种之多,这里主要是指""""学术的思想体系。""""很明显,""""道""""的境界明显高于经验谈之类,这就是我用""""道""""的出发点。我阅读《赵炳南临床经验集》后,初步统计,书中内服经验万包括汤剂24首,丸丹药8首,膏剂6首,合计38首。外用方药包括散剂18首,软膏30首,药油5首,酒浸、水浸、醋浸7首。洗剂10首,药捻7首,合计77首。内服方与外用方总计为115首。如此众多经验方的公开,不仅反映了赵老不吝密术,普济众生的仁泽之心,而且是迄今为止的献方之冠。"""
散剂,外用方,三七粉,药物,成分,2024547,"""略论赵炳南教授用药之道 <正>引言首先了解""""道""""的含义,《说文解字》说:""""道者,人所行"""",引申为""""道理"""";现在字典、词汇、辞海等书,综合古今资料,将""""道""""的含义解释达13种之多,这里主要是指""""学术的思想体系。""""很明显,""""道""""的境界明显高于经验谈之类,这就是我用""""道""""的出发点。我阅读《赵炳南临床经验集》后,初步统计,书中内服经验万包括汤剂24首,丸丹药8首,膏剂6首,合计38首。外用方药包括散剂18首,软膏30首,药油5首,酒浸、水浸、醋浸7首。洗剂10首,药捻7首,合计77首。内服方与外用方总计为115首。如此众多经验方的公开,不仅反映了赵老不吝密术,普济众生的仁泽之心,而且是迄今为止的献方之冠。"""
《赵炳南临床经验集》,书籍,丸丹药8首,方剂,包括,2024547,"""略论赵炳南教授用药之道 <正>引言首先了解""""道""""的含义,《说文解字》说:""""道者,人所行"""",引申为""""道理"""";现在字典、词汇、辞海等书,综合古今资料,将""""道""""的含义解释达13种之多,这里主要是指""""学术的思想体系。""""很明显,""""道""""的境界明显高于经验谈之类,这就是我用""""道""""的出发点。我阅读《赵炳南临床经验集》后,初步统计,书中内服经验万包括汤剂24首,丸丹药8首,膏剂6首,合计38首。外用方药包括散剂18首,软膏30首,药油5首,酒浸、水浸、醋浸7首。洗剂10首,药捻7首,合计77首。内服方与外用方总计为115首。如此众多经验方的公开,不仅反映了赵老不吝密术,普济众生的仁泽之心,而且是迄今为止的献方之冠。"""
《赵炳南临床经验集》,书籍,膏剂6首,方剂,包括,2024547,"""略论赵炳南教授用药之道 <正>引言首先了解""""道""""的含义,《说文解字》说:""""道者,人所行"""",引申为""""道理"""";现在字典、词汇、辞海等书,综合古今资料,将""""道""""的含义解释达13种之多,这里主要是指""""学术的思想体系。""""很明显,""""道""""的境界明显高于经验谈之类,这就是我用""""道""""的出发点。我阅读《赵炳南临床经验集》后,初步统计,书中内服经验万包括汤剂24首,丸丹药8首,膏剂6首,合计38首。外用方药包括散剂18首,软膏30首,药油5首,酒浸、水浸、醋浸7首。洗剂10首,药捻7首,合计77首。内服方与外用方总计为115首。如此众多经验方的公开,不仅反映了赵老不吝密术,普济众生的仁泽之心,而且是迄今为止的献方之冠。"""
《赵炳南临床经验集》,书籍,散剂18首,方剂,包括,2024547,"""略论赵炳南教授用药之道 <正>引言首先了解""""道""""的含义,《说文解字》说:""""道者,人所行"""",引申为""""道理"""";现在字典、词汇、辞海等书,综合古今资料,将""""道""""的含义解释达13种之多,这里主要是指""""学术的思想体系。""""很明显,""""道""""的境界明显高于经验谈之类,这就是我用""""道""""的出发点。我阅读《赵炳南临床经验集》后,初步统计,书中内服经验万包括汤剂24首,丸丹药8首,膏剂6首,合计38首。外用方药包括散剂18首,软膏30首,药油5首,酒浸、水浸、醋浸7首。洗剂10首,药捻7首,合计77首。内服方与外用方总计为115首。如此众多经验方的公开,不仅反映了赵老不吝密术,普济众生的仁泽之心,而且是迄今为止的献方之冠。"""
《赵炳南临床经验集》,书籍,软膏30首,方剂,包括,2024547,"""略论赵炳南教授用药之道 <正>引言首先了解""""道""""的含义,《说文解字》说:""""道者,人所行"""",引申为""""道理"""";现在字典、词汇、辞海等书,综合古今资料,将""""道""""的含义解释达13种之多,这里主要是指""""学术的思想体系。""""很明显,""""道""""的境界明显高于经验谈之类,这就是我用""""道""""的出发点。我阅读《赵炳南临床经验集》后,初步统计,书中内服经验万包括汤剂24首,丸丹药8首,膏剂6首,合计38首。外用方药包括散剂18首,软膏30首,药油5首,酒浸、水浸、醋浸7首。洗剂10首,药捻7首,合计77首。内服方与外用方总计为115首。如此众多经验方的公开,不仅反映了赵老不吝密术,普济众生的仁泽之心,而且是迄今为止的献方之冠。"""
现代中医皮肤外科,门派,赵炳南,名医,创始人,2024549,"""皮科泰斗民族骄傲——写在现代中医皮外科奠基人赵炳南归真30周年 <正>在回族名医中,曾经出现过一位德高望重的泰斗级人物,他给朱德委员长看过病,受到过周恩来总理的会见,是第二、三、四、五、七届北京市人大代表,担任过北京人大常委会委员,还是第四、五届全国人大代表。他就是我国现代中医皮外科的奠基人——赵炳南先生。学徒生涯从医之路赵炳南(1899-1984年),原名赵德明,经名伊德雷斯,祖籍山东德州。幼年时的赵炳南身体羸弱,8岁之前先后患上了麻疹、伤寒、猩红热、痢疾、疟疾和天花,几乎所有儿童传"""
和法,治法,皮肤病,中医疾病,适用于,2024550,"""浅论赵炳南运用“和法”治疗皮肤病 <正>和解剂是指病在表里、上下、营卫、气血之间,或病情寒热错杂,虚实互见,既不宜专功,又不宜纯补,选用寒热补泻药物妥善配伍,以调盈济虚,平亢扶卑,祛邪安正的一类方剂。其内容,广义地讲包括调和营卫,双解表里,和解少阳、透达膜原、调和肝脾、分消上下等。本文就赵老运用和法治疗皮肤病方面的经验总结如下:一、调和气血;二、调和肝脾;三、调和阴阳。"""
和法,治法,气血,中医理论,调节,2024550,"""浅论赵炳南运用“和法”治疗皮肤病 <正>和解剂是指病在表里、上下、营卫、气血之间,或病情寒热错杂,虚实互见,既不宜专功,又不宜纯补,选用寒热补泻药物妥善配伍,以调盈济虚,平亢扶卑,祛邪安正的一类方剂。其内容,广义地讲包括调和营卫,双解表里,和解少阳、透达膜原、调和肝脾、分消上下等。本文就赵老运用和法治疗皮肤病方面的经验总结如下:一、调和气血;二、调和肝脾;三、调和阴阳。"""
和法,治法,肝脾,中医理论,调节,2024550,"""浅论赵炳南运用“和法”治疗皮肤病 <正>和解剂是指病在表里、上下、营卫、气血之间,或病情寒热错杂,虚实互见,既不宜专功,又不宜纯补,选用寒热补泻药物妥善配伍,以调盈济虚,平亢扶卑,祛邪安正的一类方剂。其内容,广义地讲包括调和营卫,双解表里,和解少阳、透达膜原、调和肝脾、分消上下等。本文就赵老运用和法治疗皮肤病方面的经验总结如下:一、调和气血;二、调和肝脾;三、调和阴阳。"""
和法,治法,阴阳,中医理论,调节,2024550,"""浅论赵炳南运用“和法”治疗皮肤病 <正>和解剂是指病在表里、上下、营卫、气血之间,或病情寒热错杂,虚实互见,既不宜专功,又不宜纯补,选用寒热补泻药物妥善配伍,以调盈济虚,平亢扶卑,祛邪安正的一类方剂。其内容,广义地讲包括调和营卫,双解表里,和解少阳、透达膜原、调和肝脾、分消上下等。本文就赵老运用和法治疗皮肤病方面的经验总结如下:一、调和气血;二、调和肝脾;三、调和阴阳。"""
和解剂,方剂,寒热补泻药物,中医药物,由 组成,2024550,"""浅论赵炳南运用“和法”治疗皮肤病 <正>和解剂是指病在表里、上下、营卫、气血之间,或病情寒热错杂,虚实互见,既不宜专功,又不宜纯补,选用寒热补泻药物妥善配伍,以调盈济虚,平亢扶卑,祛邪安正的一类方剂。其内容,广义地讲包括调和营卫,双解表里,和解少阳、透达膜原、调和肝脾、分消上下等。本文就赵老运用和法治疗皮肤病方面的经验总结如下:一、调和气血;二、调和肝脾;三、调和阴阳。"""
和解剂,方剂,调盈济虚,治法,功能,2024550,"""浅论赵炳南运用“和法”治疗皮肤病 <正>和解剂是指病在表里、上下、营卫、气血之间,或病情寒热错杂,虚实互见,既不宜专功,又不宜纯补,选用寒热补泻药物妥善配伍,以调盈济虚,平亢扶卑,祛邪安正的一类方剂。其内容,广义地讲包括调和营卫,双解表里,和解少阳、透达膜原、调和肝脾、分消上下等。本文就赵老运用和法治疗皮肤病方面的经验总结如下:一、调和气血;二、调和肝脾;三、调和阴阳。"""
和法,中医治疗原则,赵炳南,中医医生,用于,2024550,"""浅论赵炳南运用“和法”治疗皮肤病 <正>和解剂是指病在表里、上下、营卫、气血之间,或病情寒热错杂,虚实互见,既不宜专功,又不宜纯补,选用寒热补泻药物妥善配伍,以调盈济虚,平亢扶卑,祛邪安正的一类方剂。其内容,广义地讲包括调和营卫,双解表里,和解少阳、透达膜原、调和肝脾、分消上下等。本文就赵老运用和法治疗皮肤病方面的经验总结如下:一、调和气血;二、调和肝脾;三、调和阴阳。"""
皮肤病,中医疾病,和法,治法,运用,2024550,"""浅论赵炳南运用“和法”治疗皮肤病 <正>和解剂是指病在表里、上下、营卫、气血之间,或病情寒热错杂,虚实互见,既不宜专功,又不宜纯补,选用寒热补泻药物妥善配伍,以调盈济虚,平亢扶卑,祛邪安正的一类方剂。其内容,广义地讲包括调和营卫,双解表里,和解少阳、透达膜原、调和肝脾、分消上下等。本文就赵老运用和法治疗皮肤病方面的经验总结如下:一、调和气血;二、调和肝脾;三、调和阴阳。"""
和法,中医治疗原则,气血,气血平衡,调和,2024550,"""浅论赵炳南运用“和法”治疗皮肤病 <正>和解剂是指病在表里、上下、营卫、气血之间,或病情寒热错杂,虚实互见,既不宜专功,又不宜纯补,选用寒热补泻药物妥善配伍,以调盈济虚,平亢扶卑,祛邪安正的一类方剂。其内容,广义地讲包括调和营卫,双解表里,和解少阳、透达膜原、调和肝脾、分消上下等。本文就赵老运用和法治疗皮肤病方面的经验总结如下:一、调和气血;二、调和肝脾;三、调和阴阳。"""
和法,中医治疗原则,肝脾,肝脾平衡,调和,2024550,"""浅论赵炳南运用“和法”治疗皮肤病 <正>和解剂是指病在表里、上下、营卫、气血之间,或病情寒热错杂,虚实互见,既不宜专功,又不宜纯补,选用寒热补泻药物妥善配伍,以调盈济虚,平亢扶卑,祛邪安正的一类方剂。其内容,广义地讲包括调和营卫,双解表里,和解少阳、透达膜原、调和肝脾、分消上下等。本文就赵老运用和法治疗皮肤病方面的经验总结如下:一、调和气血;二、调和肝脾;三、调和阴阳。"""
和法,中医治疗原则,阴阳,阴阳平衡,调和,2024550,"""浅论赵炳南运用“和法”治疗皮肤病 <正>和解剂是指病在表里、上下、营卫、气血之间,或病情寒热错杂,虚实互见,既不宜专功,又不宜纯补,选用寒热补泻药物妥善配伍,以调盈济虚,平亢扶卑,祛邪安正的一类方剂。其内容,广义地讲包括调和营卫,双解表里,和解少阳、透达膜原、调和肝脾、分消上下等。本文就赵老运用和法治疗皮肤病方面的经验总结如下:一、调和气血;二、调和肝脾;三、调和阴阳。"""
中医,诊断,阴阳学说,辨证方法,应用,2024551,"""浅谈阴阳辨证与赵炳南的辨证思想 <正>赵炳南先生是中医界著名的皮外科专家,在其数十年的临床生涯中救死扶伤、尽职尽责、救治患者无数,其高尚的医德和精湛的医术至今仍为后人所称道。赵老临床有独到的经验心得,创立很多内服、外用的皮外科效验方,有些仍在临床使用。阴阳辨证是赵老生前非常重视的辨证方法,因此,我们对阴阳学说及辨证作一简要整理,以期借此能更好地理解和继承赵老的辨证思想。"""
阴阳学说,中医理论,阴虚火旺,中医理论,由 组成,2024551,"""浅谈阴阳辨证与赵炳南的辨证思想 <正>赵炳南先生是中医界著名的皮外科专家,在其数十年的临床生涯中救死扶伤、尽职尽责、救治患者无数,其高尚的医德和精湛的医术至今仍为后人所称道。赵老临床有独到的经验心得,创立很多内服、外用的皮外科效验方,有些仍在临床使用。阴阳辨证是赵老生前非常重视的辨证方法,因此,我们对阴阳学说及辨证作一简要整理,以期借此能更好地理解和继承赵老的辨证思想。"""
赵炳南,中医专家,独具一格的皮肤外科验方,药方,创立方剂,2024551,"""浅谈阴阳辨证与赵炳南的辨证思想 <正>赵炳南先生是中医界著名的皮外科专家,在其数十年的临床生涯中救死扶伤、尽职尽责、救治患者无数,其高尚的医德和精湛的医术至今仍为后人所称道。赵老临床有独到的经验心得,创立很多内服、外用的皮外科效验方,有些仍在临床使用。阴阳辨证是赵老生前非常重视的辨证方法,因此,我们对阴阳学说及辨证作一简要整理,以期借此能更好地理解和继承赵老的辨证思想。"""
阴阳辨证,诊断方法,赵炳南,中医专家,重视,2024551,"""浅谈阴阳辨证与赵炳南的辨证思想 <正>赵炳南先生是中医界著名的皮外科专家,在其数十年的临床生涯中救死扶伤、尽职尽责、救治患者无数,其高尚的医德和精湛的医术至今仍为后人所称道。赵老临床有独到的经验心得,创立很多内服、外用的皮外科效验方,有些仍在临床使用。阴阳辨证是赵老生前非常重视的辨证方法,因此,我们对阴阳学说及辨证作一简要整理,以期借此能更好地理解和继承赵老的辨证思想。"""
湿热性,中医辨证,湿疹,皮肤病,属于,2024552,"""浅谈赵炳南“首辨阴阳”学术思想对皮肤病湿证治疗的指导作用 赵炳南先生是我国当代中医皮外科泰斗,现代中医皮肤科的创建者,创立了一套独特的中医皮肤病辨治体系,创建了许多经典方剂和有效疗法,为中医皮肤科的创立和发展做出了巨大贡献。他治疗皮肤病以""""首辨阴阳""""为辨证原则,尤其是对于与湿相关的皮肤病,重点是辨别疾病属于湿热性亦或是湿气性,这实质是对皮肤病湿与热的辨证,是辨热重于湿抑或是湿重于热。这一思想尤其体现在对湿疹和带状疱疹的辨证治疗上,不仅如此,这一思想对于银屑病、痤疮等皮肤病的辨证和治疗,也有指导作用。学习和继承赵炳南学术思想,就应该坚持""""首辨阴阳""""的原则。"""
湿热性,中医辨证,带状疱疹,皮肤病,属于,2024552,"""浅谈赵炳南“首辨阴阳”学术思想对皮肤病湿证治疗的指导作用 赵炳南先生是我国当代中医皮外科泰斗,现代中医皮肤科的创建者,创立了一套独特的中医皮肤病辨治体系,创建了许多经典方剂和有效疗法,为中医皮肤科的创立和发展做出了巨大贡献。他治疗皮肤病以""""首辨阴阳""""为辨证原则,尤其是对于与湿相关的皮肤病,重点是辨别疾病属于湿热性亦或是湿气性,这实质是对皮肤病湿与热的辨证,是辨热重于湿抑或是湿重于热。这一思想尤其体现在对湿疹和带状疱疹的辨证治疗上,不仅如此,这一思想对于银屑病、痤疮等皮肤病的辨证和治疗,也有指导作用。学习和继承赵炳南学术思想,就应该坚持""""首辨阴阳""""的原则。"""
湿重于热,中医辨证,湿性湿疹,皮肤病类型,具有,2024552,"""浅谈赵炳南“首辨阴阳”学术思想对皮肤病湿证治疗的指导作用 赵炳南先生是我国当代中医皮外科泰斗,现代中医皮肤科的创建者,创立了一套独特的中医皮肤病辨治体系,创建了许多经典方剂和有效疗法,为中医皮肤科的创立和发展做出了巨大贡献。他治疗皮肤病以""""首辨阴阳""""为辨证原则,尤其是对于与湿相关的皮肤病,重点是辨别疾病属于湿热性亦或是湿气性,这实质是对皮肤病湿与热的辨证,是辨热重于湿抑或是湿重于热。这一思想尤其体现在对湿疹和带状疱疹的辨证治疗上,不仅如此,这一思想对于银屑病、痤疮等皮肤病的辨证和治疗,也有指导作用。学习和继承赵炳南学术思想,就应该坚持""""首辨阴阳""""的原则。"""
湿重于热,中医辨证,带状疱疹,皮肤病类型,具有,2024552,"""浅谈赵炳南“首辨阴阳”学术思想对皮肤病湿证治疗的指导作用 赵炳南先生是我国当代中医皮外科泰斗,现代中医皮肤科的创建者,创立了一套独特的中医皮肤病辨治体系,创建了许多经典方剂和有效疗法,为中医皮肤科的创立和发展做出了巨大贡献。他治疗皮肤病以""""首辨阴阳""""为辨证原则,尤其是对于与湿相关的皮肤病,重点是辨别疾病属于湿热性亦或是湿气性,这实质是对皮肤病湿与热的辨证,是辨热重于湿抑或是湿重于热。这一思想尤其体现在对湿疹和带状疱疹的辨证治疗上,不仅如此,这一思想对于银屑病、痤疮等皮肤病的辨证和治疗,也有指导作用。学习和继承赵炳南学术思想,就应该坚持""""首辨阴阳""""的原则。"""
首辨阴阳,学术思想,湿证治疗,中医治疗原则,指导,2024552,"""浅谈赵炳南“首辨阴阳”学术思想对皮肤病湿证治疗的指导作用 赵炳南先生是我国当代中医皮外科泰斗,现代中医皮肤科的创建者,创立了一套独特的中医皮肤病辨治体系,创建了许多经典方剂和有效疗法,为中医皮肤科的创立和发展做出了巨大贡献。他治疗皮肤病以""""首辨阴阳""""为辨证原则,尤其是对于与湿相关的皮肤病,重点是辨别疾病属于湿热性亦或是湿气性,这实质是对皮肤病湿与热的辨证,是辨热重于湿抑或是湿重于热。这一思想尤其体现在对湿疹和带状疱疹的辨证治疗上,不仅如此,这一思想对于银屑病、痤疮等皮肤病的辨证和治疗,也有指导作用。学习和继承赵炳南学术思想,就应该坚持""""首辨阴阳""""的原则。"""
银屑病,皮肤病,首辨阴阳,学术思想应用,受益于,2024552,"""浅谈赵炳南“首辨阴阳”学术思想对皮肤病湿证治疗的指导作用 赵炳南先生是我国当代中医皮外科泰斗,现代中医皮肤科的创建者,创立了一套独特的中医皮肤病辨治体系,创建了许多经典方剂和有效疗法,为中医皮肤科的创立和发展做出了巨大贡献。他治疗皮肤病以""""首辨阴阳""""为辨证原则,尤其是对于与湿相关的皮肤病,重点是辨别疾病属于湿热性亦或是湿气性,这实质是对皮肤病湿与热的辨证,是辨热重于湿抑或是湿重于热。这一思想尤其体现在对湿疹和带状疱疹的辨证治疗上,不仅如此,这一思想对于银屑病、痤疮等皮肤病的辨证和治疗,也有指导作用。学习和继承赵炳南学术思想,就应该坚持""""首辨阴阳""""的原则。"""
痤疮,皮肤病,首辨阴阳,学术思想应用,受益于,2024552,"""浅谈赵炳南“首辨阴阳”学术思想对皮肤病湿证治疗的指导作用 赵炳南先生是我国当代中医皮外科泰斗,现代中医皮肤科的创建者,创立了一套独特的中医皮肤病辨治体系,创建了许多经典方剂和有效疗法,为中医皮肤科的创立和发展做出了巨大贡献。他治疗皮肤病以""""首辨阴阳""""为辨证原则,尤其是对于与湿相关的皮肤病,重点是辨别疾病属于湿热性亦或是湿气性,这实质是对皮肤病湿与热的辨证,是辨热重于湿抑或是湿重于热。这一思想尤其体现在对湿疹和带状疱疹的辨证治疗上,不仅如此,这一思想对于银屑病、痤疮等皮肤病的辨证和治疗,也有指导作用。学习和继承赵炳南学术思想,就应该坚持""""首辨阴阳""""的原则。"""
中医证型,中医证型,弦数,脉象诊断,有脉象,2024552,"""浅谈赵炳南“首辨阴阳”学术思想对皮肤病湿证治疗的指导作用 赵炳南先生是我国当代中医皮外科泰斗,现代中医皮肤科的创建者,创立了一套独特的中医皮肤病辨治体系,创建了许多经典方剂和有效疗法,为中医皮肤科的创立和发展做出了巨大贡献。他治疗皮肤病以""""首辨阴阳""""为辨证原则,尤其是对于与湿相关的皮肤病,重点是辨别疾病属于湿热性亦或是湿气性,这实质是对皮肤病湿与热的辨证,是辨热重于湿抑或是湿重于热。这一思想尤其体现在对湿疹和带状疱疹的辨证治疗上,不仅如此,这一思想对于银屑病、痤疮等皮肤病的辨证和治疗,也有指导作用。学习和继承赵炳南学术思想,就应该坚持""""首辨阴阳""""的原则。"""
中医证型,中医证型,舌苔薄黄,舌象诊断,有舌象,2024552,"""浅谈赵炳南“首辨阴阳”学术思想对皮肤病湿证治疗的指导作用 赵炳南先生是我国当代中医皮外科泰斗,现代中医皮肤科的创建者,创立了一套独特的中医皮肤病辨治体系,创建了许多经典方剂和有效疗法,为中医皮肤科的创立和发展做出了巨大贡献。他治疗皮肤病以""""首辨阴阳""""为辨证原则,尤其是对于与湿相关的皮肤病,重点是辨别疾病属于湿热性亦或是湿气性,这实质是对皮肤病湿与热的辨证,是辨热重于湿抑或是湿重于热。这一思想尤其体现在对湿疹和带状疱疹的辨证治疗上,不仅如此,这一思想对于银屑病、痤疮等皮肤病的辨证和治疗,也有指导作用。学习和继承赵炳南学术思想,就应该坚持""""首辨阴阳""""的原则。"""
湿证,中医证型,,,治疗原则,2024552,"""浅谈赵炳南“首辨阴阳”学术思想对皮肤病湿证治疗的指导作用 赵炳南先生是我国当代中医皮外科泰斗,现代中医皮肤科的创建者,创立了一套独特的中医皮肤病辨治体系,创建了许多经典方剂和有效疗法,为中医皮肤科的创立和发展做出了巨大贡献。他治疗皮肤病以""""首辨阴阳""""为辨证原则,尤其是对于与湿相关的皮肤病,重点是辨别疾病属于湿热性亦或是湿气性,这实质是对皮肤病湿与热的辨证,是辨热重于湿抑或是湿重于热。这一思想尤其体现在对湿疹和带状疱疹的辨证治疗上,不仅如此,这一思想对于银屑病、痤疮等皮肤病的辨证和治疗,也有指导作用。学习和继承赵炳南学术思想,就应该坚持""""首辨阴阳""""的原则。"""
赵炳南学术思想,理论,湿证,中医证型,指导,2024552,"""浅谈赵炳南“首辨阴阳”学术思想对皮肤病湿证治疗的指导作用 赵炳南先生是我国当代中医皮外科泰斗,现代中医皮肤科的创建者,创立了一套独特的中医皮肤病辨治体系,创建了许多经典方剂和有效疗法,为中医皮肤科的创立和发展做出了巨大贡献。他治疗皮肤病以""""首辨阴阳""""为辨证原则,尤其是对于与湿相关的皮肤病,重点是辨别疾病属于湿热性亦或是湿气性,这实质是对皮肤病湿与热的辨证,是辨热重于湿抑或是湿重于热。这一思想尤其体现在对湿疹和带状疱疹的辨证治疗上,不仅如此,这一思想对于银屑病、痤疮等皮肤病的辨证和治疗,也有指导作用。学习和继承赵炳南学术思想,就应该坚持""""首辨阴阳""""的原则。"""
赵炳南学术思想,理论,湿热性,湿热类型,指导,2024552,"""浅谈赵炳南“首辨阴阳”学术思想对皮肤病湿证治疗的指导作用 赵炳南先生是我国当代中医皮外科泰斗,现代中医皮肤科的创建者,创立了一套独特的中医皮肤病辨治体系,创建了许多经典方剂和有效疗法,为中医皮肤科的创立和发展做出了巨大贡献。他治疗皮肤病以""""首辨阴阳""""为辨证原则,尤其是对于与湿相关的皮肤病,重点是辨别疾病属于湿热性亦或是湿气性,这实质是对皮肤病湿与热的辨证,是辨热重于湿抑或是湿重于热。这一思想尤其体现在对湿疹和带状疱疹的辨证治疗上,不仅如此,这一思想对于银屑病、痤疮等皮肤病的辨证和治疗,也有指导作用。学习和继承赵炳南学术思想,就应该坚持""""首辨阴阳""""的原则。"""
