ID,人名,疾病,临证经验,资料来源
127,张志礼,掌跖脓疱病,"张教授认为本病的病因病机乃素体热盛,或外感毒邪,致毒热炽盛,气血两潘或饮食不节,脾失健运,湿热内蕴, 日久化毒,发为本病闷。因此临床常将本病分为血热、湿毒型对证施治。1血热证：张教授根据红斑皮疹,舌质红赤或绛,结合现代医学认为本病为“限局性脓疤型银屑病”中“掌肠脓疤型银屑病” 的观点, 同时借鉴银屑病血热为主的辨证特点,从“血热”论治本病。灵枢·痛疽》云“热胜则肉腐, 肉腐则为脓”,故见脓疤热盛则阴伤,故舌见裂纹。在治疗中张志礼教授指出本病“血热证”中的“血热”虽不同于温病的“热人营血”,但温热病“透营转气”的治疗原则对本病血热证有着很好的指导意义。即在使用生地、白茅根等清热凉血药物的同时,选用银花、连翘等具有透热达表作用的清泻气分毒热的药物,能够更好地驱除热邪。凉血注意活血,以免寒凉成疲。另外, “热”邪易耗伤阴液,故治疗中应注意选择生地、白茅根等既能清热,又具有养阴、护阴作用的药物。2湿毒证：张教授强调,虽脾喜燥恶湿,但除湿忌温燥, 以防助热生毒,故除湿须配合清热而清热又忌苦寒,恐脾胃被伤,湿邪难化。故清热要配合健脾, 以防苦寒直折,更伤脾土,加重湿邪之产生。清热除湿尚需注意湿与热的关系, 分清热重、湿重或是湿热并重。另外,除湿之药、热毒之邪,又都可伤阴,特别是病情迁延者,故本证型亦须固护阴液。掌拓脓疤病的辨证,从“脓”作为切人点,强调血热和湿毒, 张教授指出这是因为皮肤损害是所有患者的共同表现。但在临床使用时,还因患者体质的不同,疾病演变的不同,辨证治疗也应有所不同,应特别注意处理好局部辨证与整体辨证的关系, 血热或湿毒绝非疾病的全部","娄卫海,王萍,张芃.张志礼治疗掌跖脓疱病经验[J].北京中医药,2012.10,31(10):740-741."
128,张志礼,银屑病,张老认为本病发生的主要原因是血热。而导致血热的因素有多种，可以因七情内伤，气机壅滞，郁久化火，以至心火亢盛，毒热伏于营血；或因饮食失节，过食腥发动风之物，脾胃失和，气机不畅，郁久化热，复受风热毒邪而发病。热壅血络则发红斑，血热风燥肌肤失养则层层脱屑，色白而痒；若病久阴血内耗，夺津灼液，则血枯燥而难荣于外；若血热炽盛，毒邪外袭，蒸灼皮肤，气血两燔，则郁火流窜，瘀滞肌肤，形成红皮；若湿热蕴久，兼感毒邪，则见密集脓疱；若风湿毒热或寒邪痹阻经络，则手足甚至脊椎大关节肿痛变形。张老从医40余年，对银屑病已摸索出一整套行之有效的中医辨证方法，一般将银屑病分为9种证型：血热证、血燥证、血瘀证、湿热证、热毒证、寒湿证、风湿毒热证、脓毒证、毒热入营证。,"王萍, 张芃,邓丙戌,孙丽蕴.张志礼中医辨证治疗银屑病方法及临床研究（一）[J].中国中西医结合皮肤性病学杂志,2004,03(04):191-193."
129,张作舟,皮肤病,"张老强调三点:(1)毒为热盛所致。《重订通俗伤寒论》言:“火盛者, 必有毒”。张老认为, 皮肤病患者多为阳热体质, 因此不论何种邪气入侵, 多从火化, 聚而成毒。因此治疗上多采用大剂量清热解毒药物, 如蒲公英、地丁、金银花、连翘、白花蛇舌草等。(2)聚集不散是毒邪久治不效的原因。清热解毒药物大多寒凉, 单纯以此类药物治疗易于冰伏经络血脉, 更使毒邪藏匿毛窍腠理而不散。因此张老强调清热解毒同时, 要配合消散之法, 因势利导, 处处给邪以出路, 常用方法有活血消散法、利湿消散法、祛风消散法等。活血消散法多用丹参、鸡血藤、三棱、莪术等;利湿消散法多用泽泻、茵陈、茯苓、苦参等;袪风消散法多用荆芥、防风、乌蛇等。(3)邪盛谓之毒。毒邪为病, 剽悍峻猛, 易于伤正, 耗散气血津液。张老常说,银屑病之鳞屑、湿疹之津水等, 均为气血津精所化,大量流失则削弱人体正气,使毒邪更盛,疾病缠绵不愈。因此后期治疗应注意扶正,顾护脾胃,使化生有源。常用药物有党参、生地、沙参、麦冬等","郝淑珍,宋坪.张作舟教授从毒论治皮肤病初探[J].社区中医药,2007,23(9):150."
130,张作舟,白癜风,白癜风患者，多因正虚邪侵而致病。郁怒伤肝，惊恐伤肾，日久耗伤阴血，使肝肾精血亏虚，此时若风邪乘虚而入，阻滞经脉，或跌仆损伤，致局部气血瘀滞，均可使腠理气血失和，肌肤失于濡养而发生疾病。《诸病源候论》认为“此亦是风邪搏于皮肤，血气不和所生也”。又如《医林改错》则明确提出“白癜风，血瘀于皮里。”近年来，现代医学提出白癜风的发病与自身免疫有关，病人免疫功能障碍，导致机体抗病能力下降，当皮肤腠理的抗病能力降低时，外界的邪气就能乘虚而入，因此造成疾病。《内经》曰:“正气存内，邪不可干;邪之所凑，其气必虚。”张老师认为正虚表现肝肾阴虚、气血不足，邪侵乃为风邪外侵、经络阻滞。提出用扶正———重视气血，滋补肝肾以治其本;祛邪———疏风祛邪，活血通络以治其标。,"李冬梅.张作舟教授运用扶正祛邪法治疗白癜风[J].光明中医,2012.04,27(4):814-815."
131,张作舟,异位性皮炎,张老认为本病系先天禀赋不足，复感湿热邪或食用鱼腥海味，辛辣刺激之品，致后天脾胃失调湿热内生而诱发本病。具体治疗体现在：1急则治其标，鞋渐退则建议健脾，善用四君之品，以培元健脾。2注意顾护胃气，如在本病些盛之时，小儿采用甘寒清热，甘淡利湿之品，免伤稚阴稚阳之体；成人亦慎用苦寒之属，免伤胃气。3本病临床虽与湿疹有相似之处，但其病程缠绵，致脾虚阴伤，治宜气阴并进，以消虚风。又病延日久，每多兼瘀，佐以活血，使气血调合，则虚邪自退。,"刘俐丽. 张作舟教授治疗异位性皮炎的经验[J]. 中国乡村医师,1988,01:34."
132,张作舟,慢性湿疹,"张老认为, 皮肤病中所见渗液流津、糜烂、浮肿等皮肤损伤属脾为湿困, 湿那泛肌所致, 治宜健脾利湿。故认为: 治湿不知理脾, 非其治也。” 因此在治疗慢性湿疹时, 一方面利其湿邪, 泻其有余; 另一方面健脾扶正, 补其不足。常以燥湿运脾之剂为其基本之大法。如偏于脾虚者, 则治以健脾为主,佐以利湿, 每以黄芪、党参、白术配茯苓、泽泻、车前子、白茅根等利湿而不伤阴之品。偏于湿热者则清热利湿之中兼顾补脾, 常用黄芩、黄柏、菌陈、龙胆草等加健脾燥湿之药,以求达到脾运湿自化, 治病求本之目的","刘利平. 张作舟老中医以补气理脾法为主治疗皮肤病经验选介[J]. 新中医,1988,09:8-9."
133,张作舟,湿疹,"《素向· 至真要大论》,云:“诸湿肿满, 皆属于脾。”脾属阴土,居中焦,主运化,通连上下,升清降浊,为水液代谢之枢机。其性喜燥而恶湿。张老根据中医理论,认为皮肤病中所见渗液流津, 糜烂、浮肿等皮损皆属内有湿邪,脾为湿困。治宜健脾利湿。故张老常说:“治湿不知理脾,非其治也。” 因此, 在治疗慢性湿疹时, 常以健脾祛湿为其基本之大法。如偏于脾虚者,则治以健脾为主, 佐以利湿, 每以黄芪、党参、白术配茯苓、泽泻、车前子、白茅根等利湿而不伤阴之品。偏于湿热者则清热利湿之中兼顾补脾,常用黄芩、黄柏、茵陈、龙胆草等健脾燥湿之药, 以求达到脾运湿化, 治病求本之目的。","刘利平.张作舟老中医运用理脾法治疗皮肤病经验选介[J].中级医刊,1988,05:26-27."
134,张作舟,小儿湿疹,"《幼科发挥· 原病论》云: “ 调理脾胃者, 医中之王道也。”脾胃乃后天之本, 生化之源。脾运健,水谷精气上输于肺, 肺气充, 水津四布, 使皮毛泽,肌肤润, 湿无从生。但是, 小儿肌肤薄嫩, 脾常不足,患湿疹常因案赋不耐或喂养不当, 造成脾失健运, 湿从内生, 浸淫成疮。因此, 治疗上张老主张小儿涅疹多从脾论治。以健脾胃贯穿始终, 随证灵活加减。正如万密斋所云: “小儿久病, 以补脾胃为主, 补其正气, 则病自愈。” 本例患儿自小发病, 面黄少华, 纳呆, 显属脾胃虚弱, 运化无权, 气血不足, 津液不充, 肌肤失养, 以致皮损肥厚、脱屑, 故遣方用药以党参、黄芪、茯苓健脾益气为主, 辅以厚朴、陈皮、淮山药、焦三仙行气开胃助其运化, 佐泽泻、白鲜皮等清热利湿, 使脾运复常, 湿邪自除, 病获痊愈。可见, 张老遵循《脾胃论》“善治病者, 惟在调和脾胃” 和“ 治病先顾脾胃”的理论, 在治疗中非常重视调理脾胃的作用。张老在临床上治疗了不少小儿慢性湿疹和异位性湿疹, 均收效满意。","刘利平.张作舟老中医运用理脾法治疗皮肤病经验选介[J].中级医刊,1988,05:26-27."
135,张作舟,慢性荨麻疹,张作舟老中医认为，荨麻疹的病因十分复杂。患者若感受外来风寒、风热之邪；或饮食起居失调，使机体正气受损，致使卫外不固，营卫失和，外邪乘虚侵袭而发本病。在六淫之中，又以风邪为主，《内经》云：“风为百病之长，善行而数变。” 《临证指南医案》指出：“风能鼓荡此五气而伤人，故曰百病之长。”风与寒邪相合，则为“风寒”，与热邪相合，则为“风热”，与湿邪相合，则为“风湿”。诸邪随风而入，郁于皮肤腠理之间，使营卫气血壅滞，不得疏达而出现疹块。饮食失节，常使脾湿胃热，转输不利，气机郁滞，积热生风，泛于肌肤而发本病。上述这些，均为实邪伤人，病势多急骤。还有些患者先天禀赋不耐，若劳逸失度，或内伤于七情，往往导致脏腑气机失调，日久必耗伤阴血，以致水不涵木，风从内生，也可发为本病。这类患者，病实于外，而本虚于内。若患者病史较长，还会出现虚实夹杂的复杂情况，迁延日久，更不易治愈。张作舟老中医将荨麻疹分为表虚不固、血虚气弱阴虚内热和湿热内蕴4 种类型，辨证施治。,"张大萍. 张作舟老中医治疗慢性荨麻疹经验介绍[J]. 新中医,2013,07:200-201."
136,张作舟,白癜风,"张老认为,本病的病因病机可分为“三点一要”。“三点”为: 肝肾阴虚为本; 风湿侵袭为标; 日久气滞血瘀。“一要”即: 脾胃虚弱为要。( 1)肝肾阴虚为本: 白癜风患者大多先天禀赋不足,肾为先天之本,肝肾同源,肾精不足则肝血亏虚,肌肤失于荣养而变白。( 2)风湿侵袭为标: 先天不足者,多卫外之气不固。此时若风湿邪气乘虚而入,滞留于皮肤腠理,阻滞经脉,肤失所养,而蕴生白斑。( 3)日久气滞血瘀: 风邪不除,经脉受遏,气机壅滞,血络受阻; 或久病失治,瘀血阻络, 新血不生,不能循经濡养肌肤,酿成肌肤白斑。( 4)脾胃虚弱为要: 患者大多后天失于调养,脾胃为后天之本,主消化和运化水谷精微而荣养周身,脾胃虚弱则气血生化乏源,肌肤失养而白斑显现。“三点一要”并不是孤立存在,而是相互关联,如先天不足者可由先天损及后天,而致脾胃虚弱;脾胃虚弱者多气虚无以固表,而易受风邪侵袭; 气虚推动无力,血脉受阻,则加重气滞血瘀。","孙永新,宋坪. 张作舟治疗白癜风经验[J]. 中医杂志,2006,03:178+198."
137,张作舟,白癜风,"张老认为气血不和, 肝肾不足, 或瘀血阻络是白癜风发病的根本病机所在, 外感六淫、内伤七情以及跌打损伤是其发病的诱因, 终致肌肤失养而发病。临床治法虽多, 不外调和气血, 滋补肝肾, 兼祛风通络。张老主张从整体辨证治疗, 内外兼调, 如能配合适当的光照治疗(包括日光照射)可明显提高疗效。并强调皮损小片初发者易治, 大片多发久患者难医。避免外伤、劳累及情志不畅对疾病的恢复亦很重要。","刘丽涛. 张作舟治疗白癜风经验介绍[J]. 辽宁中医杂志,2007,02:142."
138,张作舟,顽固性湿疹,"顽固性湿疹包括异位性皮炎、反复不愈的泛发性湿疹、手部皲裂性湿疹等, 为临床常见病、多发病, 类似于祖国医学中记载的“ 四弯风” 、“ 奶癣” 、“ 浸淫疮” 、“ 血风疮” 等病。《外科正宗》曰: “ 儿在胎中, 母食五辛、父餐炙博, 遗热于儿, 生后头面遍身发为奶癣, 流脂成片, 睡卧不安, 搔痒不绝。” 张老认为, 本病系先天察赋不耐, 复感风湿热邪.郁于肌腠; 或过食肥甘鱼腥海味及辛辣刺激之品, 致后天脾胃失调,湿热内生而发病。若久病阴津耗伤, 血虚生风, 肌肤失养则更加缠绵不愈。其中, 禀赋不耐实为复杂病因中的重要一环。张老认为: 顽固性湿疹主要由禀赋不足, 后天失养所致, 故治疗应坚守人体正气这一根本。《内经》云:“ 真气者, 所受于天, 与谷气并而充于身者也” 。张老以扶正祛邪为大法, 在治疗本病的过程中, 自始至终采用补后天以养先天的原则, 使脾胃强健, 方能“ 淫精于脉” , “水精四布、五经并行” 。张老认为应坚持标本兼治, 补中有泻, 泻不忘补.：①祛邪而不伤正,注意顾护胃气。在本病邪盛之时, 对小儿应采用甘寒清热, 甘淡利湿之品, 中病即止, 免伤稚阴稚阳之体;成人亦慎用苦寒之属, 以防损伤胃气。②祛湿要有出路) 湿邪内蕴, 溢于肌肤必发疹, 而耗伤津液. 当予以车前子、茵陈之属利水燥湿, 引邪外出。③ 理脾为要. 疏通气机。湿性粘腻, 易阻遏气机而愈难退, 故治湿必先理气健脾, 根据其证, 或予理脾, 或以消导。使气机通畅, 脾胃运化正常, 则湿热之邪难以内停, 而达到正盛邪退之目的。","刘瓦利,方平. 张作舟治疗顽固性湿疹经验介绍[J]. 中级医刊,1995,01:47-49."
139,张作舟,顽固性荨麻疹,"张师尝治诸多慢性荨麻疹,均拟祛风为主,或辅燥湿、或辅和营卫等法。于此顽症,张师虑其病久,病机交融,合其舌脉,乃另辟蹊径,拟祛风、理湿、重镇、养阴四法,遣药不过十三,面面俱到,奏效颇佳","徐文军. 张作舟治疗顽固性荨麻疹经验[J]. 中国民间疗法,1998,03:32."
140,赵炳南,慢性荨麻疹,对于慢性荨麻疹患者，赵炳南每每辨证为阴阳失调、气血失和，处以调和阴阳、中和气血之法。此类患者多为劳心之人，平素劳累操心，日久则致脏腑阴阳气血功能失调，表现为上火下寒、上实下虚、经络阻隔、气血凝滞的阴阳不调证，常表现为皮疹反复发作，伴有不定时的头痛头晕、乏力、手足常发凉，而手足心又发热；或自觉畏寒，又有五心烦热，腰痛；心悸、心烦、失眠、健忘、头晕、耳鸣、腰酸腿软、潮热盗汗，睡眠不实，多梦易惊；口舌生疮、口渴唇裂，经常出现腹胀、腹痛、腹泻等症，女子可伴有带下、月经不调、少腹痛等不适。舌体胖、边有齿痕，舌质紫暗或淡，脉象多弦滑，或沉细，或芤，或涩等,"李敏,张苍,蔡念宁.赵炳南：调和阴阳治慢性荨麻疹[N].中国中医药报,2012-05-23004."
141,赵炳南,皮肤病,赵炳南在治疗湿热为主的病证时，根据病因病机特点，常常以清泄与宣透并用。例如急性湿疹、带状疱疹等病案，以龙胆草、黄芩、栀子药与金银花、大青叶相用，苦寒清泄趋下，甘寒辛凉透解，使得内湿外邪随之而解。赵炳南以清心火泻肝热，凉血与解毒相伍，治疗多种皮肤病。如银屑病病案，以白茅根、生槐花、生地与露蜂房、土茯苓并用，共奏凉血解毒功；再如中毒性红斑病案，金银花、连翘、大青叶、板蓝根与生地、白茅根为伍，取效显著。赵炳南惯用苦寒的白鲜皮、大黄清热燥湿祛风；甘温的白术、黄芪，甘淡的薏苡仁既能健脾治本。如婴儿湿疹医案，湿热内蕴，兼有食滞发为胎蔹，药用甘淡的茯苓、甘平的焦麦芽健脾治本；金银花、连翘、黄芩、菊花清热解毒燥湿治标；赤芍凉血清热；竹叶清热利湿，全方用药健脾与清解为伍，相宜病机。赵炳南证治血虚生风而引起的瘙痒、皮肤肥厚等证时常以养血润燥之鸡血藤、当归、熟地、黄芪、白芍、赤芍、天冬、麦冬与威灵仙、升麻、荆芥、防风等辛散走表，敷布气血药配伍，能使药效直达病所。如治疗银屑病时鉴于部分病人病程较久，阴血内耗，则血枯燥而难荣于外，创立白疕2号，治以养血润肤，活血散风，药用甘辛温的当归、苦甘温的鸡血藤养血活血润肤；生地、山药养阴清热；用土茯苓、蜂房清解深入营血之毒热；辛温的威灵仙性急善走，通十二经而敷布气血；再如治疗泛发性神经性皮炎病案亦养血活血之丹参与通经善行之威灵仙相配。,"冯晓刚,周光.赵炳南87例皮肤病医案立法与组方用药规律探讨[J].新疆中医药,2009,02:32-33."
142,赵炳南,皮肤病,赵炳南认为，风、湿、热、虫皆可作痒。风热作痒者可以荆防方为主加减，药用荆芥穗、防风、僵蚕、金银花、牛蒡子、丹皮、浮萍、生地、薄荷、黄芩、蝉衣、甘草等，功能为疏风解表、清热止痒，方中以荆芥穗、防风、薄荷、蝉衣为主，而且认为防风必与荆芥同伍，才能疏散侵入骨肉之风邪。对于风寒束表所致瘙痒者，重用荆芥穗，另加干姜皮等,"首都医科大学中医药学院高益民.赵炳南辨证经验及常用方药[N].中国中医药报,2009-11-04004."
143,赵炳南,感染性皮肤病,赵老成功地将中医卫气营血辨证运用于感染性皮肤病及急性炎症期皮肤病的治疗中，创立了解毒四步经验方：解毒清热汤、解毒清营汤、解毒凉血汤和解毒养阴汤。四方在清热解毒的基础上，根据病变属卫营同病、气血（营）两燔及气阴两伤期等不同阶段（相当于感染性皮肤病的早期、脓毒血症或败血症期、恢复期）分别加卫营分、气血分药物，是卫气营血辨证应用于皮肤疾病治疗的最佳诠释。,"婧文.赵炳南和他的中医皮外科事业[J].中国卫生人才,2014,01:66-67."
144,赵炳南,颈痈$败血症,"赵老认为痈（外痈）症发病迅速，易脓、易溃、易敛，很少形成陷证。因其发病部位不同，命名也不同，如颈痈（对口疮或偏口疮）、背痈（发背或搭背）、肘痈、脐痈、乳痈、子痈等。赵老强调痈的发病内因是发病的根据。他常说：“没有急、气、怒、恼不生痈”，又说：“急、气、怒、恼，肝火暴动以致营卫失和，营气不从，逆于肉理，乃生痈肿”。再加上外感六淫毒火或过食高粱厚味，邪热壅聚，气血凝结，经络壅遏不通而成。赵老医生认为老年的痈症患者,多由于肾阴虚亏,阴虚火旺,水火不济,再加上外因引动,内外合邪而发病。其表现的毒热病象是一种“阴极似阳”虚中夹实的外在表现,与一般单纯的“阳毒”有所不同,所以在治疗时强调注意养阴抉正的法则。老医生在治疗痈症时,强调要保护肾阴、忌房事。而且注意保护脾胃以增强体质,既或是合并糖尿病,除病情较重者外也不太过分地强调饮食的控制。","赵炳南老中医经验介绍——颈痈合并败血症一例的辨证与治疗[J]. 新医药学杂志,1975,05:18-20"
145,赵炳南,痒疹,"引起疹痒的因素比较多,治疗比较困难。赵老医生认为,瘙痒多由风、湿、热、虫而诱发,也有血虚所引起者。属于风胜者,常表现为走窜无定,遍身作痒;属于湿盛者,常表现为浸淫四窜,流津淋漓,糜烂结痂,属于热盛者,皮肤隐疹,掀红灼热;属于湿热生虫者,皮损界限明显,痒感如虫行,而且容易传染;属于血虚者,皮肤干燥,变厚而作痒。发于上部者多兼风邪,发于下部者多兼湿邪。皮疹鲜红表浅,泛发全身者,属于阳证、表证;皮疹色暗淡较深者,多属于阴证、里证。从赵老医生的临床实践来看,对于疹痒的治疗,有一套规律,概括起来有以下几种法则:1.散风止痒法:适用于风盛所引起的疡痒。若病程短,皮疹鲜红,病在表者,首先用荆防方;若病程稍长,开始人里,则用麻黄方;经久缠绵不愈者,可用秦芜丸或全虫方。2.清热止痒法:适用于毒热盛而兼有皮肤疹痒者。治疗时应以清热治本为主,重用清热解毒药即可止痒,但是应当分辨为虚热还是实热。属于虚热者,则养血安神兼清虚热即可止痒;属于实热者,则重用清热解毒,佐以凉血泻肝,常用的药物如犀角、生瑕猖、生地、丹皮、胆草等,常用的方剂如龙胆泻肝汤、犀角地黄汤等。3.养血润肤止痒法:适用于慢性疹痒性皮肤病,属于血虚、血燥者,常用的方剂如养血润肤饮等。4.除湿止痒法:适用于脾失健运,蕴湿不化,或外感湿邪而致者,常用的方剂如除湿胃苓汤等。5.杀虫止痒法:适用于虫疾作痒者,除辨证内服汤剂外,外用药多用百部、雄黄、轻粉等杀虫以止痒。","赵炳南老中医医案[J].新医药学杂志,1974,12:35-38."
146,赵炳南,结节性痒疹,"赵老医生认为痒疹的发生,主要是体内蕴湿,兼感外界风毒,或昆虫咬伤,毒汁内长为患,湿邪风毒凝聚,经络阻隔,气血凝滞,形成结节而作痒。湿为重浊有滞之邪,湿邪下注故发病往往先发于下肢小腿,湿性粘腻,敞缠绵不愈。总的治疗原则是除湿解毒、疏风止痒、活血软坚。赵老医生习惯用全虫方加减,配合活血化瘀瘀药。常用方药:荆芥、防风、全虫、皂刺、苦参、车前子、泽泻、革解、白藓皮、刺蒺藜、当归、赤白芍。上方一般用法:病情早期以疏风止痒、除湿解毒为主,重用荆芥、防风、苦参、刺蒺藜、白藓皮、全虫等药。至后期,结节坚硬较大,顽固不愈者,除前法外宜加用或重用活血软坚之药,如赤白芍、当归、丹参、威灵仙、川军等,或加用丸药如大黄蛰虫丸、散结灵或小金丹(均为市售成药)等。若脾胃失和,运化失职者宜加用积壳、厚朴、陈皮等。外用药方面:结节较小,浸润不深者可用鲜芦荟,折断取其新鲜汁蘸雄黄解毒散，或化毒散外擦,或用黄瓜尾巴蘸擦黄药粉外擦,或单独使用擦黄药粉,或用脱色拔膏棍、稀释拔膏外敷亦可。若结节硬大成片,浸润较深者,则宜用黑色拔膏棍加温外贴,或将黑色拔膏棍加温融化后加入10~20%的紫砂粉外贴(但宜注意,勿损伤正常皮肤)。","赵炳南老中医医案[J].新医药学杂志,1974,12:35-38."
147,赵炳南,皮肤病,"赵炳南与马瑞臣、张作舟报道以疏风养血为主,佐以祛湿凉血活血,运用内服方药除湿胃苓汤、养血润肤饮、消风散以及自制方,外用敷剂、洗剂、熏剂,综合疗法治疗银屑病(白疕风)23例,有效率达82.3%。赵老根据古典文献记录,受先贤的启示,研究出具有创新性的熏药疗法,并应用熏药疗法治疗神经性皮炎等疑难病,取得满意效果。赵炳南、马瑞臣、张作舟报道应用熏药疗法治疗神经性皮炎103例,在外用熏药油膏电幅热疗法基础上,内服秦艽丸、苍耳膏,有效率达96.7%。方大定、赵炳南、马海德等报道用赵炳南癣症熏药方治疗60例神经性皮炎,治愈率为81.7%,治愈期限为9天至2个月,认为熏药疗法止痒迅速、治愈期限短、用法简便、很少严重反应,可在民间广泛推广。魏正明、赵炳南、马瑞臣报道运用赵炳南熏药疗法治疗61例神经性皮炎患者,痊愈8人,占13.11%;有效36人,占59.01%。黑布药膏疗法也是赵炳南教授借鉴前人的经验,结合自己的临证体会创制出的独特治法和方药。赵老临床上重视心肝火盛为病,善用龙胆泻肝汤;重视湿邪为病,惯用除湿胃苓汤;重视调和阴阳,常用四藤配伍等","耿学英,宋乃光,赵岩松,蔡念宁.赵炳南教授学术思想研究概况[J].中医研究,2008,10:58-61."
148,赵炳南,皮肤病,"赵老诊治皮肤病重视中医整体观念,认为阴阳之平衡,营卫气血之调和,脏腑经络之通畅,皆与病损变化息息相关。在具体辨证时,强调必首辨阴阳。赵老从对许多皮肤病患者的诊断辨证中,证实大多皮损的发生系阴阳不调、气血失和所致,故在方中投以调和阴阳、中和气血的药物,辄取良效。","耿学英,宋乃光,赵岩松,蔡念宁.赵炳南教授学术思想研究概况[J].中医研究,2008,10:58-61."
149,赵炳南,皮肤病,"赵老治病有胆有识,有攻有守。如治疗阴寒症性皮肤病,他认为开始如攻伐太过,正气大伤,正不抗邪,不但“欲速则不达”,反而事倍功半。所以补消之中,以补为主;若正气渐复,病势好转,则应因势利导,乘胜攻邪,所以补消之中,以消为主;若正复邪衰,向愈趋势既定,则应扶正祛邪,补消兼施,以固疗效。鉴于皮肤病多陈疴久疾,故赵炳南立法遣药,往往药少力专,抓住主证,迎头痛击。如他治疗风湿疡(急性湿疹),抓住热盛有湿的特点,投以大剂龙胆泻肝汤加减,泻肝胆湿热,疗效显著。文中重点介绍了赵老经验方加减龙胆泻肝汤、加减除湿胃苓汤、凉血五花汤、凉血五根汤、多皮饮、全虫方等,以及他习惯使用的引经药、习惯使用的对药;较为详细地介绍了赵老的特色疗法,如拔膏疗法、熏药疗法、黑布药膏疗法、药捻疗法、胶布反缠治疗嵌甲法、引血疗法等","耿学英,宋乃光,赵岩松,蔡念宁.赵炳南教授学术思想研究概况[J].中医研究,2008,10:58-61."
150,赵炳南,皮肤病,"赵炳南用药经验,主要是其清热解毒药、托脓透毒药、理气健脾药、对药、温药、引药等6个方面的应用特色,为中医皮外科的临床用药提供资料。刘华为等对赵炳南外用药剂型进行了初探,包括熏药剂、拔膏剂、黑布膏剂、散剂、软膏剂、药油、浸剂、洗剂、药捻等","耿学英,宋乃光,赵岩松,蔡念宁.赵炳南教授学术思想研究概况[J].中医研究,2008,10:58-61."
151,赵炳南,白癜风,"此病的病因病机为七情内伤, 肝气郁结,气机不畅,复感风邪,搏于肌肤,致令气血失和,而发本病。","叶姝,陈可平.赵炳南临床经验的传承与发扬之白癜风篇[A].中华中医药学会.中华中医药学会皮肤科分会第六次学术年会、赵炳南学术思想研讨会、全国皮肤科中医外治高级研修班论文集[C].中华中医药学会:,2009:3."
152,赵炳南,带状疱疹,《医宗金鉴》称“缠腰火丹”，分干、湿二类，干者属肝、心二经风火，用龙胆泻肝汤；湿者属脾肺二经湿热，用除湿胃苓汤。赵老认为二者皆当属湿热，又可分为两型：基底鲜红者为热盛型，基底淡红者为湿盛型；前者多伴见口苦、咽干，后者多伴见腹胀、纳呆,"宋乃光.赵炳南皮肤科学术渊源研究[J].北京中医药,2009,06:422-424."
153,赵炳南,丹毒,血分伏火为内因，感受湿热火毒之邪为外因却具有共同性。赵老在此基础上又分急、慢两类：急性者毒热型多，慢性者湿热兼夹型多；毒热重可见高热、神昏谵语，湿热重可见水疱、渗液。又根据部位不同而有不同的兼邪，如发于头面多兼风热，发于胁下多兼肝火，发于下肢多兼湿热等，,"宋乃光.赵炳南皮肤科学术渊源研究[J].北京中医药,2009,06:422-424."
154,赵炳南,荨麻疹,细分为风热型、风寒型、血虚受风型三类，分别治以疏风泄热、辛温散风透表、养血散风,"宋乃光.赵炳南皮肤科学术渊源研究[J].北京中医药,2009,06:422-424."
155,赵炳南,系统性红斑狼疮,患者脏腑毒热证表现，在不同病程阶段有不同的病变重心， 依此来确定证候类型，则更符合临床实际。突然发生高热或高热持续不退，面或其他部位出现红斑， 病情紧急者为毒热炽盛证；高热之后长期低热不退，出现全身消耗性症状者为阴血虚亏证；病中出现心悸气短、心神不安、四肢厥冷、汗泄脉结者，为毒邪攻心证；后期毒热侵及肾脏，出现肾阴亏损表现者为肾阴亏损证：后期患者肝脾肿大或肝功不正常，或妇女月经失调者为毒热伤肝证等,"宋乃光.赵炳南皮肤科学术渊源研究[J].北京中医药,2009,06:422-424."
156,赵炳南,湿疹,继承了《医宗金鉴·外科心法要诀》《疡科心得集》将湿疹病因归于湿、热、风的观点，进一歩阐述其临床特点：夹风者瘙痒明显，化火者皮肤焮赤灼热，夹湿者皮肤流渍缠绵。对证候的分型参照古代医家分干敛、湿敛的方法，总体上将其分为热盛型和湿盛型两类,"宋乃光.赵炳南皮肤科学术渊源研究[J].北京中医药,2009,06:422-424."
157,赵炳南,慢性荨麻疹,强调治病要从整体出发，辨证时必首辨阴阳，分清虚实，补其不足，损其有余。另外，他还重视顾护气血的平衡。多辨证为阴阳失调，气血失和，处以调和阴阳，中和气血之法。喜用天仙藤、钩藤、首乌藤和鸡血藤，此四藤为赵老调和阴阳气血的基本配伍。慢性患者虽经治愈，近期无新生皮疹，但为了减少复发，最好在治愈后再服药一阶段，才能达到减少复发的目的。在治疗期间或在恢复后，应注意饮食的禁忌， 不食或少食鱼虾等腥发动风和辛辣刺激食物，戒烟限酒，避免诱发因素，以免引起该病的复发。,"李敏,张苍,蔡念宁.赵炳南调和阴阳治疗慢性荨麻疹经验探析[J].中国中西医结合皮肤性病学杂志,2009,06:361-362."
